Category,Component,Parameter,Value
Chassis,Base Dynamics,Total Mass,1250
Chassis,Base Dynamics,Center Of Mass Offset,0.00 | 0.45 | 0.28
Chassis,Base Dynamics,Inertia Tensor Box Size,1.70 | 1.20 | 4.40
Chassis,Base Dynamics,Max Safe Torque Multiplier,150
Chassis,Steering,Max Steer Angle,38
Chassis,Steering,Ackermann Inner Multiplier,1.1
Chassis,Steering,Ackermann Outer Multiplier,0.9
Chassis,Anti-Roll Bars,Front Anti Roll,10000
Chassis,Anti-Roll Bars,Rear Anti Roll,5000
Aerodynamics,Aero Settings,Air Density,1.225
Aerodynamics,Aero Settings,Frontal Area,2
Aerodynamics,Aero Settings,Side Area,4.5
Aerodynamics,Aero Settings,Top Area,5.5
Aerodynamics,Aero Settings,Center Of Pressure Offset,0.00 | 0.50 | -0.30
Aerodynamics,Aero Settings,Optimal Ride Height,0.15
Aerodynamics,Aero Settings,Ground Effect Multiplier,1.05
Aerodynamics,Aero Settings,Downforce Vs Ao A,Curve Keys: 5
Aerodynamics,Aero Settings,Drag Vs Ao A,Curve Keys: 5
Aerodynamics,Aero Settings,Sideforce Vs Slip Angle,Curve Keys: 7
Powertrain,Engine,Torque Csv File,CSV File: Sleeper_engine_NA
Powertrain,Engine,Engine Inertia,0.15
Powertrain,Engine,Static Friction,15
Powertrain,Engine,Dynamic Friction,0.02
Powertrain,Engine,Throttle Smoothing,0.08
Powertrain,Engine,Induction,SleeperInduction (InductionData)
Powertrain,Engine,Idle R P M,850
Powertrain,Engine,Redline R P M,7500
Powertrain,Forced Induction,Induction Type,Turbocharged
Powertrain,Forced Induction,Max Pressure Bar,2.20
Powertrain,Forced Induction,Boost Threshold RPM,2500
Powertrain,Forced Induction,Optimal Boost RPM,4000
Powertrain,Forced Induction,Turbo Spool Rate,3.50
Powertrain,Forced Induction,Blow Off Rate,20.00
Powertrain,Clutch,Max Torque Capacity,550
Powertrain,Clutch,Lock Threshold,2.5
Powertrain,Transmission,Forward Gears,3.321 : 1.902 : 1.308 : 1 : 0.838
Powertrain,Transmission,Reverse Gear,3.382
Powertrain,Transmission,Final Drive,4.083
Powertrain,Transmission,Efficiency,0.88
Powertrain,Transmission,Transmission Inertia,0.15
Powertrain,Auto Controller,Has Torque Converter Creep,False
Powertrain,Auto Controller,Idle Creep Engagement,0
Powertrain,Auto Controller,Bite R P M,1600
Powertrain,Auto Controller,Lock R P M,2200
Powertrain,Auto Controller,Upshift R P M,7100
Powertrain,Auto Controller,Downshift R P M,3500
Powertrain,Auto Controller,Shift Duration,0.25
Drivetrain,Layout,Drive Type,RWD
Drivetrain,Rear Differential,Diff Type,LimitedSlip
Drivetrain,Rear Differential,Slip Tolerance,1.5
Drivetrain,Rear Differential,Gear Ratio,1
Drivetrain,Rear Differential,Inertia,0.15
Drivetrain,Rear Differential,Power Bias,0.5
Drivetrain,Rear Differential,Preload L S D,0.05
Drivetrain,Rear Differential,Locking Friction,800
Drivetrain,Rear Differential,Locking Stiffness,5000
