Time,Steer,Throttle,Brake,Clutch,PosY,RotX,RotY,RotZ,AngularVel_Mag,FL_Grounded,FL_SuspLen,FL_NormLoad,FL_LongSlip,FL_SlipAngle,FR_Grounded,FR_SuspLen,FR_NormLoad,FR_LongSlip,FR_SlipAngle,RL_Grounded,RL_SuspLen,RL_NormLoad,RL_LongSlip,RL_SlipAngle,RR_Grounded,RR_SuspLen,RR_NormLoad,RR_LongSlip,RR_SlipAngle
0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.020,0.000,0.000,0.000,0.000,2.996,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.040,0.000,0.000,0.000,0.000,2.988,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.060,0.000,0.000,0.000,0.000,2.976,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.080,0.000,0.000,0.000,0.000,2.961,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.100,0.000,0.000,0.000,0.000,2.941,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.120,0.000,0.000,0.000,0.000,2.918,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.140,0.000,0.000,0.000,0.000,2.890,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.160,0.000,0.000,0.000,0.000,2.859,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.180,0.000,0.000,0.000,0.000,2.823,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.200,0.000,0.000,0.000,0.000,2.784,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.220,0.000,0.000,0.000,0.000,2.741,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.240,0.000,0.000,0.000,0.000,2.694,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.260,0.000,0.000,0.000,0.000,2.643,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.280,0.000,0.000,0.000,0.000,2.588,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.300,0.000,0.000,0.000,0.000,2.529,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.320,0.000,0.000,0.000,0.000,2.466,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.340,0.000,0.000,0.000,0.000,2.400,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.360,0.000,0.000,0.000,0.000,2.329,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.380,0.000,0.000,0.000,0.000,2.254,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.400,0.000,0.000,0.000,0.000,2.176,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.420,0.000,0.000,0.000,0.000,2.094,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.440,0.000,0.000,0.000,0.000,2.007,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.460,0.000,0.000,0.000,0.000,1.917,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.480,0.000,0.000,0.000,0.000,1.823,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.500,0.000,0.000,0.000,0.000,1.725,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.520,0.000,0.000,0.000,0.000,1.623,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.540,0.000,0.000,0.000,0.000,1.517,0.000,0.000,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000,False,0.700,0.0,0.000,0.000
0.560,0.000,0.000,0.000,0.000,1.407,0.000,0.000,0.000,0.000,True,0.673,10646.2,0.000,0.000,True,0.673,10646.2,0.000,0.000,True,0.673,10646.2,0.000,0.000,True,0.673,10646.2,0.000,0.000
0.580,0.000,0.000,0.000,0.000,1.296,0.000,0.000,0.000,0.000,True,0.567,14315.7,0.089,0.000,True,0.567,14315.7,0.089,0.000,True,0.567,14292.4,0.100,0.000,True,0.567,14292.4,0.100,0.000
0.600,0.000,0.000,0.000,0.000,1.195,359.975,0.001,-0.001,0.022,True,0.477,16524.9,-0.783,0.000,True,0.477,16527.0,-0.785,0.000,True,0.476,16777.9,-0.787,0.000,True,0.476,16780.0,-0.787,0.000
0.620,0.000,0.000,0.000,0.000,1.106,359.981,0.000,0.000,0.005,True,0.402,17929.0,0.122,0.000,True,0.402,17927.8,0.123,0.000,True,0.400,17911.3,0.122,0.000,True,0.400,17910.2,0.121,0.000
0.640,0.000,0.000,0.000,0.000,1.033,359.965,0.000,0.000,0.014,True,0.342,18159.2,-0.742,0.000,True,0.342,18160.8,-0.741,0.000,True,0.340,18343.7,-0.742,0.000,True,0.340,18345.4,-0.742,0.000
0.660,0.000,0.000,0.000,0.000,0.974,359.975,0.000,0.000,0.009,True,0.300,29815.2,0.080,0.000,True,0.300,29810.4,0.080,0.000,True,0.300,29343.4,0.080,0.000,True,0.300,29338.6,0.080,0.000
0.680,0.000,0.000,0.000,0.000,0.932,359.988,0.000,0.000,0.011,True,0.300,23921.7,-0.784,0.000,True,0.300,23918.7,-0.784,0.000,True,0.300,23822.4,-0.784,0.000,True,0.300,23819.4,-0.784,0.000
0.700,0.000,0.000,0.000,0.000,0.913,0.010,-0.001,0.001,0.019,True,0.300,16757.1,0.121,0.000,True,0.300,16752.4,0.121,0.000,True,0.300,16282.7,0.121,0.000,True,0.300,16277.9,0.121,0.000
0.720,0.000,0.000,0.000,0.000,0.911,0.004,0.000,0.000,0.005,True,0.300,11764.2,-0.595,0.000,True,0.300,11767.3,-0.595,0.000,True,0.300,11739.0,-0.597,0.000,True,0.300,11742.2,-0.597,0.000
0.740,0.000,0.000,0.000,0.000,0.919,0.015,0.000,0.000,0.010,True,0.300,7618.1,0.092,0.000,True,0.300,7616.3,0.092,0.000,True,0.300,7393.5,0.099,0.000,True,0.300,7391.7,0.099,0.000
0.760,0.000,0.000,0.000,0.000,0.933,0.011,0.000,0.000,0.004,True,0.316,5893.0,-0.257,0.000,True,0.316,5894.6,-0.257,0.000,True,0.317,5896.8,-0.244,0.000,True,0.317,5898.4,-0.244,0.000
0.780,0.000,0.000,0.000,0.000,0.949,0.016,0.000,0.000,0.005,True,0.335,4670.8,0.115,0.000,True,0.335,4670.9,0.115,0.000,True,0.336,4586.7,0.132,0.000,True,0.336,4586.7,0.132,0.000
0.800,0.000,0.000,0.000,0.000,0.967,0.013,0.000,0.000,0.002,True,0.354,3591.0,-0.116,0.000,True,0.354,3592.2,-0.116,0.000,True,0.355,3582.7,-0.106,0.000,True,0.355,3583.9,-0.107,0.000
0.820,0.000,0.000,0.000,0.000,0.986,0.016,0.000,0.000,0.003,True,0.373,2799.2,0.079,0.000,True,0.373,2799.5,0.079,0.000,True,0.373,2747.2,0.080,0.000,True,0.373,2747.5,0.080,0.000
0.840,0.000,0.000,0.000,0.000,1.004,0.013,0.000,0.000,0.003,True,0.390,2178.1,-0.053,0.000,True,0.390,2179.1,-0.053,0.000,True,0.390,2174.7,-0.052,0.000,True,0.390,2175.7,-0.052,0.000
