PosX,PosY,PosZ,DirX,DirY,DirZ,LeftX,LeftY,LeftZ,RightX,RightY,RightZ
-64.489,-23.591,-25.784,0.974,0.001,0.227,-67.923,-23.474,-16.659,-61.055,-23.708,-34.909
-58.730,-23.587,-24.439,0.961,0.000,0.276,-67.846,-23.474,-16.635,-49.614,-23.701,-32.243
-53.918,-23.589,-23.059,0.991,0.000,0.130,-56.135,-23.477,-13.564,-51.700,-23.701,-32.553
-48.905,-23.591,-22.401,0.984,0.000,0.179,-51.594,-23.483,-13.029,-46.216,-23.700,-31.773
-43.980,-23.591,-21.502,0.991,0.000,0.130,-45.249,-23.484,-11.835,-42.711,-23.698,-31.169
-39.016,-23.591,-20.851,0.984,0.000,0.179,-40.766,-23.487,-11.259,-37.266,-23.696,-30.442
-34.091,-23.589,-19.952,1.000,-0.001,0.032,-35.360,-23.486,-10.285,-32.822,-23.691,-29.619
-29.038,-23.592,-19.793,0.991,0.000,0.131,-30.788,-23.492,-10.201,-27.288,-23.692,-29.384
-24.056,-23.591,-19.135,0.997,0.000,0.081,-24.372,-23.491,-9.140,-23.740,-23.692,-29.130
-19.066,-23.591,-18.729,1.000,0.000,0.031,-20.342,-23.495,-9.062,-17.790,-23.687,-28.395
-14.063,-23.593,-18.572,0.997,0.000,0.081,-14.854,-23.499,-8.854,-13.271,-23.687,-28.290
-9.073,-23.593,-18.165,0.991,0.001,0.131,-9.378,-23.500,-8.420,-8.767,-23.685,-27.910
-4.110,-23.589,-17.510,1.000,-0.001,-0.018,-4.901,-23.499,-7.792,-3.318,-23.679,-27.228
0.946,-23.592,-17.599,0.999,0.000,0.032,-0.330,-23.504,-7.933,2.222,-23.680,-27.265
5.949,-23.593,-17.437,0.997,0.000,0.082,6.121,-23.507,-7.689,5.777,-23.679,-27.186
10.939,-23.591,-17.026,0.999,0.000,0.032,10.623,-23.507,-7.281,11.254,-23.675,-26.771
15.942,-23.591,-16.864,1.000,0.000,-0.018,15.141,-23.509,-7.147,16.744,-23.672,-26.581
20.948,-23.592,-16.952,0.999,0.000,0.032,20.633,-23.513,-7.208,21.263,-23.672,-26.697
25.951,-23.592,-16.791,0.997,0.001,0.082,26.123,-23.515,-7.042,25.779,-23.670,-26.539
30.941,-23.590,-16.379,0.998,-0.001,-0.067,30.626,-23.514,-6.634,31.256,-23.665,-26.124
35.985,-23.593,-16.716,0.997,0.000,0.082,35.184,-23.520,-6.999,36.787,-23.665,-26.433
41.024,-23.591,-16.300,1.000,0.000,-0.017,41.673,-23.521,-6.572,40.375,-23.661,-26.028
46.048,-23.591,-16.387,0.999,0.000,0.033,45.226,-23.522,-6.421,46.870,-23.660,-26.354
51.052,-23.591,-16.224,1.000,0.000,-0.017,51.221,-23.526,-6.476,50.883,-23.655,-25.973
56.058,-23.591,-16.311,0.999,0.000,0.033,55.740,-23.530,-6.566,56.375,-23.652,-26.056
61.061,-23.590,-16.148,1.000,0.000,-0.017,61.231,-23.534,-6.400,60.892,-23.647,-25.897
66.067,-23.591,-16.235,0.999,0.000,0.033,65.749,-23.538,-6.490,66.384,-23.643,-25.980
71.070,-23.591,-16.072,1.000,0.000,-0.017,71.240,-23.548,-6.323,70.901,-23.634,-25.821
76.076,-23.590,-16.159,0.998,-0.001,-0.067,75.758,-23.558,-6.414,76.393,-23.622,-25.904
81.071,-23.593,-16.496,0.997,-0.001,0.081,81.240,-23.590,-6.747,80.901,-23.597,-26.244
86.110,-23.596,-16.084,0.998,0.001,-0.067,86.766,-23.621,-6.356,85.454,-23.571,-25.812
91.154,-23.590,-16.424,0.997,-0.002,0.081,90.360,-23.635,-6.706,91.949,-23.545,-26.141
96.193,-23.599,-16.012,0.998,0.000,-0.067,96.849,-23.661,-6.284,95.538,-23.536,-25.740
101.238,-23.600,-16.352,1.000,-0.002,-0.017,100.443,-23.669,-6.634,102.032,-23.531,-26.070
106.243,-23.607,-16.439,1.000,-0.001,-0.017,106.899,-23.685,-6.711,105.588,-23.530,-26.167
111.243,-23.614,-16.526,0.998,-0.001,-0.067,111.408,-23.693,-7.027,111.078,-23.536,-26.024
116.238,-23.619,-16.862,1.000,-0.001,-0.017,116.407,-23.704,-7.114,116.068,-23.534,-26.611
121.243,-23.624,-16.949,0.998,0.000,-0.067,121.899,-23.712,-7.221,120.587,-23.536,-26.677
126.238,-23.626,-17.286,1.000,0.000,-0.017,126.407,-23.717,-7.537,126.069,-23.535,-27.034
131.244,-23.626,-17.373,0.998,0.001,-0.067,131.899,-23.719,-7.645,130.588,-23.533,-27.101
136.238,-23.623,-17.709,1.000,0.001,-0.017,136.408,-23.719,-7.961,136.069,-23.527,-27.458
141.244,-23.617,-17.796,0.998,0.002,-0.067,141.900,-23.715,-8.068,140.588,-23.519,-27.524
146.239,-23.607,-18.133,1.000,0.003,-0.017,146.408,-23.708,-8.384,146.070,-23.507,-27.881
151.244,-23.594,-18.220,0.998,0.003,-0.067,151.900,-23.696,-8.492,150.589,-23.492,-27.948
156.239,-23.577,-18.556,1.000,0.005,-0.017,156.408,-23.683,-8.808,156.070,-23.472,-28.305
161.245,-23.555,-18.643,0.998,0.005,-0.067,161.900,-23.660,-8.915,160.589,-23.449,-28.371
166.240,-23.528,-18.980,0.993,0.008,-0.117,166.409,-23.638,-9.231,166.071,-23.419,-28.728
171.211,-23.490,-19.565,0.999,0.006,0.032,171.867,-23.599,-9.837,170.556,-23.382,-29.293
176.265,-23.459,-19.405,0.993,0.010,-0.117,177.405,-23.565,-9.722,175.124,-23.353,-29.088
181.286,-23.409,-19.997,0.998,0.010,-0.067,180.977,-23.529,-10.252,181.594,-23.289,-29.742
186.281,-23.361,-20.333,1.000,0.011,-0.017,187.421,-23.469,-10.650,185.140,-23.254,-30.016
191.286,-23.305,-20.420,0.998,0.012,-0.067,191.941,-23.419,-10.692,190.630,-23.190,-30.148
196.280,-23.244,-20.757,1.000,0.014,-0.017,196.449,-23.366,-11.008,196.112,-23.121,-30.505
201.286,-23.172,-20.843,0.998,0.015,-0.067,201.941,-23.289,-11.115,200.630,-23.054,-30.571
206.280,-23.096,-21.180,1.000,0.018,-0.017,206.449,-23.223,-11.431,206.111,-22.968,-30.928
211.285,-23.007,-21.266,0.998,0.019,-0.067,211.940,-23.128,-11.538,210.629,-22.887,-30.994
216.279,-22.914,-21.603,0.997,0.022,-0.067,216.448,-23.046,-11.854,216.110,-22.783,-31.351
221.267,-22.805,-21.939,1.000,0.021,-0.017,221.905,-22.925,-12.460,220.628,-22.685,-31.417
226.271,-22.698,-22.025,0.997,0.026,-0.067,226.927,-22.822,-12.297,225.616,-22.573,-31.753
231.265,-22.568,-22.362,0.997,0.026,-0.067,231.434,-22.707,-12.613,231.096,-22.429,-32.110
236.252,-22.438,-22.698,0.999,0.029,-0.017,236.891,-22.562,-13.219,235.613,-22.313,-32.176
241.256,-22.291,-22.784,0.997,0.030,-0.067,241.911,-22.420,-13.056,240.601,-22.162,-32.512
246.249,-22.139,-23.121,0.993,0.035,-0.117,246.417,-22.286,-13.372,246.080,-21.992,-32.869
251.218,-21.964,-23.706,0.999,0.033,0.032,251.874,-22.096,-13.978,250.563,-21.831,-33.434
256.269,-21.795,-23.546,0.992,0.040,-0.117,257.409,-21.910,-13.863,255.128,-21.680,-33.229
