Category,Component,Parameter,Value
Chassis,Base Dynamics,totalMass,1680
Chassis,Base Dynamics,centerOfMassOffset,0.00 | 0.40 | 0.20
Chassis,Base Dynamics,inertiaTensorBoxSize,2.00 | 1.10 | 4.80
Chassis,Base Dynamics,maxSafeTorqueMultiplier,120
Chassis,Steering,maxSteerAngle,42
Chassis,Steering,ackermannInnerMultiplier,1.12
Chassis,Steering,ackermannOuterMultiplier,0.88
Chassis,Anti-Roll Bars,frontAntiRoll,10000
Chassis,Anti-Roll Bars,rearAntiRoll,9500
Aerodynamics,Aero Settings,airDensity,1.225
Aerodynamics,Aero Settings,frontalArea,2.35
Aerodynamics,Aero Settings,sideArea,5.2
Aerodynamics,Aero Settings,topArea,8.5
Aerodynamics,Aero Settings,centerOfPressureOffset,0.00 | 0.35 | -0.65
Aerodynamics,Aero Settings,optimalRideHeight,0.1
Aerodynamics,Aero Settings,groundEffectMultiplier,1.15
Aerodynamics,Aero Settings,downforceVsAoA,Curve Keys: 6
Aerodynamics,Aero Settings,dragVsAoA,Curve Keys: 5
Aerodynamics,Aero Settings,sideforceVsSlipAngle,Curve Keys: 7
Powertrain,Engine,torqueCsvFile,CSV File: Freak_engine_map
Powertrain,Engine,engineInertia,0.28
Powertrain,Engine,staticFriction,15
Powertrain,Engine,dynamicFriction,0.08
Powertrain,Engine,throttleSmoothing,0.06
Powertrain,Engine,induction,FreakInductionData (InductionData)
Powertrain,Engine,idleRPM,850
Powertrain,Engine,redlineRPM,6800
Powertrain,Forced Induction,type,Supercharged
Powertrain,Forced Induction,maxPressureBar,1.4
Powertrain,Forced Induction,superchargerParasiticDrag,55
Powertrain,Forced Induction,boostThresholdRPM,2500
Powertrain,Forced Induction,optimalBoostRPM,4500
Powertrain,Forced Induction,turboSpoolRate,2.5
Powertrain,Forced Induction,blowOffRate,15
Powertrain,Clutch,maxTorqueCapacity,1500
Powertrain,Clutch,lockThreshold,2.5
Powertrain,Transmission,forwardGears,2.66 : 1.78 : 1.3 : 1 : 0.74 : 0.65
Powertrain,Transmission,reverseGear,3.1
Powertrain,Transmission,finalDrive,1
Powertrain,Transmission,efficiency,0.85
Powertrain,Transmission,transmissionInertia,0.35
Powertrain,Auto Controller,hasTorqueConverterCreep,False
Powertrain,Auto Controller,idleCreepEngagement,0
Powertrain,Auto Controller,biteRPM,1800
Powertrain,Auto Controller,lockRPM,3000
Powertrain,Auto Controller,upshiftRPM,6550
Powertrain,Auto Controller,downshiftRPM,3200
Powertrain,Auto Controller,shiftDuration,0.15
Drivetrain,Layout,driveType,AWD
Drivetrain,Front Differential,diffType,LimitedSlip
Drivetrain,Front Differential,gearRatio,3.73
Drivetrain,Front Differential,inertia,0.05
Drivetrain,Front Differential,powerBias,0.5
Drivetrain,Front Differential,preloadLSD,0.05
Drivetrain,Front Differential,lockingFriction,80
Drivetrain,Front Differential,lockingStiffness,1800
Drivetrain,Front Differential,coastLockingMultiplier,0.15
Drivetrain,Center Differential,diffType,LimitedSlip
Drivetrain,Center Differential,gearRatio,1
Drivetrain,Center Differential,inertia,0.05
Drivetrain,Center Differential,powerBias,0.2
Drivetrain,Center Differential,preloadLSD,0.1
Drivetrain,Center Differential,lockingFriction,150
Drivetrain,Center Differential,lockingStiffness,5000
Drivetrain,Center Differential,coastLockingMultiplier,0.2
Drivetrain,Rear Differential,diffType,LimitedSlip
Drivetrain,Rear Differential,gearRatio,3.73
Drivetrain,Rear Differential,inertia,0.05
Drivetrain,Rear Differential,powerBias,0.5
Drivetrain,Rear Differential,preloadLSD,0.5
Drivetrain,Rear Differential,lockingFriction,600
Drivetrain,Rear Differential,lockingStiffness,5000
Drivetrain,Rear Differential,coastLockingMultiplier,0.8
Front Axle,Wheel Config,mass,28
Front Axle,Wheel Config,radius,0.38
Front Axle,Wheel Config,inertia,2
Front Axle,Tire Compound,maxLoadCapacity,12000
Front Axle,Tire Compound,frictionMultiplier,1.15
Front Axle,Tire Compound,rollingResistance,0.015
Front Axle,Tire Compound,loadSensitivity,0.15
Front Axle,Tire Compound,longRelaxationLength,0.12
Front Axle,Tire Compound,latRelaxationLength,0.22
Front Axle,Tire Compound,longB,10
Front Axle,Tire Compound,longC,1.6
Front Axle,Tire Compound,longD,1.1
Front Axle,Tire Compound,longE,0.97
Front Axle,Tire Compound,latB,8
Front Axle,Tire Compound,latC,1.3
Front Axle,Tire Compound,latD,1.05
Front Axle,Tire Compound,latE,-0.8
Front Axle,Brakes,maxBrakeTorque,4500
Front Axle,Brakes,maxHandbrakeTorque,6000
Front Axle,Brakes,hasABS,True
Front Axle,Brakes,absSlipThreshold,0.12
Front Axle,Brakes,absReleaseMultiplier,0.3
Front Axle,Suspension,targetRideHeight,0.45
Front Axle,Suspension,bumpTravel,0.15
Front Axle,Suspension,droopTravel,0.1
Front Axle,Suspension,springStiffness,75000
Front Axle,Suspension,bumpDamping,6000
Front Axle,Suspension,reboundDamping,8500
Front Axle,Suspension,bumpStopGap,0.03
Front Axle,Suspension,bumpStopStiffness,250000
Front Axle,Suspension,absoluteMaxForce,300000
Front Axle,Suspension,camberGainPerMeter,18
Front Axle,Suspension,bumpSteerPerMeter,1.5
Rear Axle,Wheel Config,mass,28
Rear Axle,Wheel Config,radius,0.38
Rear Axle,Wheel Config,inertia,2
Rear Axle,Tire Compound,maxLoadCapacity,12000
Rear Axle,Tire Compound,frictionMultiplier,1.15
Rear Axle,Tire Compound,rollingResistance,0.015
Rear Axle,Tire Compound,loadSensitivity,0.15
Rear Axle,Tire Compound,longRelaxationLength,0.12
Rear Axle,Tire Compound,latRelaxationLength,0.22
Rear Axle,Tire Compound,longB,10
Rear Axle,Tire Compound,longC,1.6
Rear Axle,Tire Compound,longD,1.1
Rear Axle,Tire Compound,longE,0.97
Rear Axle,Tire Compound,latB,8
Rear Axle,Tire Compound,latC,1.3
Rear Axle,Tire Compound,latD,1.05
Rear Axle,Tire Compound,latE,-0.8
Rear Axle,Brakes,maxBrakeTorque,4500
Rear Axle,Brakes,maxHandbrakeTorque,6000
Rear Axle,Brakes,hasABS,True
Rear Axle,Brakes,absSlipThreshold,0.12
Rear Axle,Brakes,absReleaseMultiplier,0.3
Rear Axle,Suspension,targetRideHeight,0.45
Rear Axle,Suspension,bumpTravel,0.15
Rear Axle,Suspension,droopTravel,0.1
Rear Axle,Suspension,springStiffness,75000
Rear Axle,Suspension,bumpDamping,6000
Rear Axle,Suspension,reboundDamping,8500
Rear Axle,Suspension,bumpStopGap,0.03
Rear Axle,Suspension,bumpStopStiffness,250000
Rear Axle,Suspension,absoluteMaxForce,300000
Rear Axle,Suspension,camberGainPerMeter,18
Rear Axle,Suspension,bumpSteerPerMeter,1.5
