Time (s),Throttle,Engine RPM,Gear,Clutch Engaged,Trans Input RPM,Roller RPM,Load Torque (Nm)
0.02,1.00,799,1,0.00,0,0,0.00
0.04,1.00,841,1,0.00,0,0,0.00
0.06,1.00,903,1,0.00,0,0,0.00
0.08,1.00,966,1,0.00,0,0,0.00
0.10,1.00,1030,1,0.00,0,0,0.00
0.12,1.00,1096,1,0.00,0,0,0.00
0.14,1.00,1166,1,0.00,0,0,0.00
0.16,1.00,1231,1,0.05,8,0,0.00
0.18,1.00,1261,1,0.10,41,3,150.50
0.20,1.00,1273,1,0.12,87,6,151.14
0.22,1.00,1278,1,0.13,141,10,151.88
0.24,1.00,1281,1,0.13,197,14,152.67
0.26,1.00,1283,1,0.14,255,18,153.49
0.28,1.00,1284,1,0.14,314,22,154.32
0.30,1.00,1285,1,0.14,374,26,155.17
0.32,1.00,1286,1,0.14,436,30,156.03
0.34,1.00,1287,1,0.15,498,35,156.90
0.36,1.00,1288,1,0.15,560,39,157.78
0.38,1.00,1289,1,0.15,624,44,158.68
0.40,1.00,1290,1,0.15,688,48,159.59
0.42,1.00,1291,1,0.15,754,53,160.51
0.44,1.00,1292,1,0.15,820,57,161.43
0.46,1.00,1293,1,0.15,886,62,162.37
0.48,1.00,1293,1,0.16,953,67,163.31
0.50,1.00,1294,1,0.16,1020,72,164.26
0.52,1.00,1294,1,0.16,1087,76,165.21
0.54,1.00,1295,1,0.16,1155,81,166.17
0.56,1.00,1296,1,0.16,1224,86,167.13
0.58,1.00,1301,1,0.17,1304,92,168.32
0.60,1.00,1338,1,0.23,1341,94,168.84
0.62,1.00,1377,1,0.29,1379,97,169.38
0.64,1.00,1416,1,0.36,1419,100,169.93
0.66,1.00,1456,1,0.43,1459,103,170.50
0.68,1.00,1497,1,0.50,1500,106,171.08
0.70,1.00,1539,1,0.57,1542,109,171.67
0.72,1.00,1583,1,0.64,1585,112,172.28
0.74,1.00,1627,1,0.71,1630,115,172.90
0.76,1.00,1672,1,0.79,1675,118,173.54
0.78,1.00,1718,1,0.86,1721,121,174.18
0.80,1.00,1764,1,0.94,1767,124,174.84
0.82,1.00,1812,1,1.00,1815,128,175.51
0.84,1.00,1860,1,1.00,1863,131,176.19
0.86,1.00,1909,1,1.00,1912,135,176.88
0.88,1.00,1959,1,1.00,1963,138,177.58
0.90,1.00,2010,1,1.00,2013,142,178.30
0.92,1.00,2062,1,1.00,2066,145,179.04
0.94,1.00,2117,1,1.00,2121,149,179.81
0.96,1.00,2173,1,1.00,2177,153,180.60
0.98,1.00,2232,1,1.00,2236,157,181.43
1.00,1.00,2293,1,1.00,2297,162,182.28
1.02,1.00,2356,1,1.00,2361,166,183.17
1.04,1.00,2422,1,1.00,2427,171,184.10
1.06,1.00,2490,1,1.00,2495,176,185.06
1.08,1.00,2561,1,1.00,2566,181,186.05
1.10,1.00,2635,1,1.00,2640,186,187.09
1.12,1.00,2711,1,1.00,2716,191,188.16
1.14,1.00,2790,1,1.00,2796,197,189.28
1.16,1.00,2872,1,1.00,2878,203,190.43
1.18,1.00,2958,1,1.00,2964,209,191.64
1.20,1.00,3047,1,1.00,3053,215,192.89
1.22,1.00,3143,1,1.00,3150,222,194.24
1.24,1.00,3247,1,1.00,3254,229,195.69
1.26,1.00,3360,1,1.00,3368,237,197.28
1.28,1.00,3482,1,1.00,3490,246,198.99
1.30,1.00,3614,1,1.00,3623,255,200.84
1.32,1.00,3757,1,1.00,3767,265,202.85
1.34,1.00,3913,1,1.00,3923,276,205.03
1.36,1.00,4079,1,1.00,4091,288,207.38
1.38,1.00,4247,1,1.00,4258,299,209.74
1.40,1.00,4413,1,1.00,4424,311,212.08
1.42,1.00,4577,1,1.00,4588,323,214.40
1.44,1.00,4739,1,1.00,4750,334,216.69
1.46,1.00,4901,1,1.00,4911,346,218.97
1.48,1.00,5060,1,1.00,5071,357,221.22
1.50,1.00,5217,1,1.00,5228,368,223.44
1.52,1.00,5373,1,1.00,5383,379,225.63
1.54,1.00,5526,1,1.00,5536,390,227.79
1.56,1.00,5677,1,1.00,5687,400,229.92
1.58,1.00,5825,1,1.00,5835,411,232.02
1.60,1.00,5972,1,1.00,5982,421,234.09
1.62,1.00,6115,1,1.00,6125,431,236.12
1.64,1.00,6252,1,1.00,6261,441,238.05
1.66,1.00,6383,1,1.00,6392,450,239.91
