Time (s),Throttle,Engine RPM,Gear,Clutch Engaged,Trans Input RPM,Roller RPM,Load Torque (Nm)
0.02,0.60,302,3,1.00,303,49,50.00
0.04,0.60,315,3,1.00,317,51,50.00
0.06,0.60,336,3,1.00,338,54,50.00
0.08,0.60,358,3,1.00,359,58,50.00
0.10,0.60,379,3,1.00,381,61,50.00
0.12,0.60,401,3,1.00,402,65,50.00
0.14,0.60,423,3,1.00,425,68,50.00
0.16,0.60,445,3,1.00,447,72,50.00
0.18,0.60,468,3,1.00,470,75,50.00
0.20,0.60,491,3,1.00,492,79,50.00
0.22,0.60,514,3,1.00,515,83,50.00
0.24,0.60,537,3,1.00,539,87,50.00
0.26,0.60,561,3,1.00,562,90,50.00
0.28,0.60,585,3,1.00,586,94,50.00
0.30,0.60,609,3,1.00,610,98,50.00
0.32,0.60,633,3,1.00,635,102,50.00
0.34,0.60,657,3,1.00,659,106,50.00
0.36,0.60,682,3,1.00,684,110,50.00
0.38,0.60,706,3,1.00,708,114,50.00
0.40,0.60,730,3,1.00,732,118,50.00
0.42,0.60,754,3,1.00,755,122,50.00
0.44,0.60,777,3,1.00,778,125,50.00
0.46,0.60,800,3,1.00,801,129,50.00
0.48,0.60,822,3,1.00,824,133,50.00
0.50,0.60,844,3,1.00,846,136,50.00
0.52,0.60,867,3,1.00,868,140,50.00
0.54,0.60,889,3,1.00,890,143,50.00
0.56,0.60,911,3,1.00,912,147,50.00
0.58,0.60,933,3,1.00,934,150,50.00
0.60,0.60,955,3,1.00,956,154,50.00
0.62,0.60,977,3,1.00,978,157,50.00
0.64,0.60,999,3,1.00,1000,161,50.00
0.66,0.60,1020,3,1.00,1022,165,50.00
0.68,0.60,1043,3,1.00,1044,168,50.00
0.70,0.60,1065,3,1.00,1067,172,50.00
0.72,0.60,1088,3,1.00,1090,175,50.00
0.74,0.60,1111,3,1.00,1113,179,50.00
0.76,0.60,1134,3,1.00,1136,183,50.00
0.78,0.60,1158,3,1.00,1160,187,50.00
0.80,0.60,1182,3,1.00,1184,191,50.00
0.82,0.60,1206,3,1.00,1208,195,50.00
0.84,0.60,1231,3,1.00,1232,198,50.00
0.86,0.60,1256,3,1.00,1257,202,50.00
0.88,0.60,1281,3,1.00,1282,207,50.00
0.90,0.60,1306,3,1.00,1308,211,50.00
0.92,0.60,1332,3,1.00,1334,215,50.00
0.94,0.60,1358,3,1.00,1360,219,50.00
0.96,0.60,1384,3,1.00,1386,223,50.00
0.98,0.60,1411,3,1.00,1413,228,50.00
1.00,0.60,1438,3,1.00,1440,232,50.00
1.02,0.60,1465,3,1.00,1467,236,50.00
1.04,0.60,1493,3,1.00,1495,241,50.00
1.06,0.60,1521,3,1.00,1523,245,50.00
1.08,0.60,1549,3,1.00,1551,250,50.00
1.10,0.60,1578,3,1.00,1580,254,50.00
1.12,0.60,1607,3,1.00,1609,259,50.00
1.14,0.60,1637,3,1.00,1639,264,50.00
1.16,0.60,1666,3,1.00,1668,269,50.00
1.18,0.60,1697,3,1.00,1699,274,50.00
1.20,0.60,1727,3,1.00,1729,279,50.00
1.22,0.60,1758,3,1.00,1760,283,50.00
1.24,0.60,1789,3,1.00,1791,289,50.00
1.26,0.60,1821,3,1.00,1823,294,50.00
1.28,0.60,1853,3,1.00,1855,299,50.00
1.30,0.60,1885,3,1.00,1887,304,50.00
1.32,0.60,1918,3,1.00,1920,309,50.00
1.34,0.60,1951,3,1.00,1954,315,50.00
1.36,0.60,1985,3,1.00,1987,320,50.00
1.38,0.60,2019,3,1.00,2021,326,50.00
1.40,0.60,2054,3,1.00,2056,331,50.00
1.42,0.60,2089,3,1.00,2091,337,50.00
1.44,0.60,2125,3,1.00,2127,343,50.00
1.46,0.60,2162,3,1.00,2164,349,50.00
1.48,0.60,2199,3,1.00,2201,355,50.00
1.50,0.60,2237,3,1.00,2239,361,50.00
1.52,0.60,2275,3,1.00,2278,367,50.00
1.54,0.60,2315,3,1.00,2317,373,50.00
1.56,0.60,2355,3,1.00,2357,380,50.00
1.58,0.60,2395,3,1.00,2398,386,50.00
1.60,0.60,2437,3,1.00,2440,393,50.00
1.62,0.60,2479,3,1.00,2482,400,50.00
1.64,0.60,2522,3,1.00,2525,407,50.00
1.66,0.60,2566,3,1.00,2569,414,50.00
1.68,0.60,2610,3,1.00,2613,421,50.00
