Time (s),Throttle,Engine RPM,Gear,Clutch Engaged,Trans Input RPM,Roller RPM,Load Torque (Nm)
0.02,1.00,265,4,1.00,241,52,54.82
0.04,1.00,250,4,1.00,250,56,55.61
0.06,1.00,265,4,1.00,266,60,55.95
0.08,1.00,281,4,1.00,282,63,56.31
0.10,1.00,297,4,1.00,298,67,56.67
0.12,1.00,313,4,1.00,314,71,57.03
0.14,1.00,329,4,1.00,330,74,57.39
0.16,1.00,345,4,1.00,347,78,57.77
0.18,1.00,362,4,1.00,363,82,58.14
0.20,1.00,379,4,1.00,380,85,58.52
0.22,1.00,396,4,1.00,397,89,58.90
0.24,1.00,413,4,1.00,414,93,59.29
0.26,1.00,430,4,1.00,431,97,59.68
0.28,1.00,448,4,1.00,449,101,60.07
0.30,1.00,465,4,1.00,467,105,60.47
0.32,1.00,483,4,1.00,485,109,60.87
0.34,1.00,501,4,1.00,503,113,61.28
0.36,1.00,520,4,1.00,521,117,61.69
0.38,1.00,538,4,1.00,539,121,62.10
0.40,1.00,556,4,1.00,558,125,62.52
0.42,1.00,575,4,1.00,576,130,62.94
0.44,1.00,594,4,1.00,595,134,63.37
0.46,1.00,613,4,1.00,614,138,63.79
0.48,1.00,632,4,1.00,633,142,64.22
0.50,1.00,651,4,1.00,652,147,64.65
0.52,1.00,670,4,1.00,671,151,65.08
0.54,1.00,689,4,1.00,691,155,65.52
0.56,1.00,709,4,1.00,710,160,65.96
0.58,1.00,728,4,1.00,730,164,66.39
0.60,1.00,748,4,1.00,749,169,66.84
0.62,1.00,767,4,1.00,769,173,67.28
0.64,1.00,787,4,1.00,789,178,67.72
0.66,1.00,807,4,1.00,808,182,68.17
0.68,1.00,827,4,1.00,828,186,68.62
0.70,1.00,847,4,1.00,848,191,69.07
0.72,1.00,867,4,1.00,868,196,69.52
0.74,1.00,887,4,1.00,889,200,69.98
0.76,1.00,907,4,1.00,909,205,70.43
0.78,1.00,928,4,1.00,929,209,70.89
0.80,1.00,948,4,1.00,950,214,71.35
0.82,1.00,969,4,1.00,970,218,71.81
0.84,1.00,989,4,1.00,990,223,72.27
0.86,1.00,1009,4,1.00,1011,228,72.73
0.88,1.00,1030,4,1.00,1031,232,73.19
0.90,1.00,1050,4,1.00,1052,237,73.65
0.92,1.00,1071,4,1.00,1072,242,74.12
0.94,1.00,1092,4,1.00,1093,246,74.60
0.96,1.00,1113,4,1.00,1115,251,75.07
0.98,1.00,1135,4,1.00,1136,256,75.56
1.00,1.00,1156,4,1.00,1158,261,76.05
1.02,1.00,1178,4,1.00,1180,266,76.54
1.04,1.00,1200,4,1.00,1202,271,77.04
1.06,1.00,1223,4,1.00,1224,276,77.54
1.08,1.00,1245,4,1.00,1247,281,78.04
1.10,1.00,1268,4,1.00,1269,286,78.56
1.12,1.00,1291,4,1.00,1292,291,79.07
1.14,1.00,1314,4,1.00,1316,296,79.60
1.16,1.00,1337,4,1.00,1339,302,80.12
1.18,1.00,1361,4,1.00,1363,307,80.66
1.20,1.00,1385,4,1.00,1386,312,81.19
1.22,1.00,1409,4,1.00,1411,318,81.74
1.24,1.00,1433,4,1.00,1435,323,82.29
1.26,1.00,1458,4,1.00,1459,329,82.84
1.28,1.00,1483,4,1.00,1484,334,83.40
1.30,1.00,1508,4,1.00,1509,340,83.96
1.32,1.00,1533,4,1.00,1535,346,84.53
1.34,1.00,1559,4,1.00,1560,351,85.11
1.36,1.00,1584,4,1.00,1586,357,85.69
1.38,1.00,1610,4,1.00,1612,363,86.28
1.40,1.00,1637,4,1.00,1638,369,86.87
1.42,1.00,1663,4,1.00,1665,375,87.47
1.44,1.00,1690,4,1.00,1692,381,88.07
1.46,1.00,1717,4,1.00,1719,387,88.68
1.48,1.00,1745,4,1.00,1746,393,89.30
1.50,1.00,1772,4,1.00,1774,400,89.92
1.52,1.00,1800,4,1.00,1802,406,90.55
1.54,1.00,1828,4,1.00,1830,412,91.19
1.56,1.00,1857,4,1.00,1859,419,91.83
1.58,1.00,1885,4,1.00,1887,425,92.48
1.60,1.00,1914,4,1.00,1916,432,93.13
1.62,1.00,1944,4,1.00,1946,438,93.79
1.64,1.00,1973,4,1.00,1975,445,94.46
1.66,1.00,2003,4,1.00,2005,452,95.13
1.68,1.00,2034,4,1.00,2036,459,95.81
1.70,1.00,2065,4,1.00,2067,466,96.51
1.72,1.00,2096,4,1.00,2099,473,97.23
1.74,1.00,2129,4,1.00,2131,480,97.96
1.76,1.00,2162,4,1.00,2164,488,98.71
1.78,1.00,2196,4,1.00,2199,495,99.48
1.80,1.00,2231,4,1.00,2234,503,100.26
1.82,1.00,2267,4,1.00,2269,511,101.07
1.84,1.00,2303,4,1.00,2306,519,101.89
1.86,1.00,2341,4,1.00,2343,528,102.73
1.88,1.00,2379,4,1.00,2381,536,103.59
1.90,1.00,2418,4,1.00,2421,545,104.47
1.92,1.00,2458,4,1.00,2461,554,105.37
1.94,1.00,2499,4,1.00,2502,564,106.29
1.96,1.00,2541,4,1.00,2543,573,107.23
1.98,1.00,2583,4,1.00,2586,583,108.20
2.00,1.00,2627,4,1.00,2630,592,109.18
2.02,1.00,2672,4,1.00,2675,603,110.19
2.04,1.00,2718,4,1.00,2721,613,111.22
2.06,1.00,2765,4,1.00,2768,624,112.28
2.08,1.00,2813,4,1.00,2816,634,113.36
2.10,1.00,2862,4,1.00,2865,645,114.47
2.12,1.00,2912,4,1.00,2916,657,115.60
2.14,1.00,2964,4,1.00,2967,668,116.76
2.16,1.00,3016,4,1.00,3020,680,117.94
2.18,1.00,3071,4,1.00,3075,693,119.18
2.20,1.00,3129,4,1.00,3133,706,120.48
2.22,1.00,3190,4,1.00,3194,719,121.84
2.24,1.00,3254,4,1.00,3258,734,123.28
2.26,1.00,3321,4,1.00,3326,749,124.80
2.28,1.00,3392,4,1.00,3397,765,126.39
2.30,1.00,3467,4,1.00,3472,782,128.06
2.32,1.00,3545,4,1.00,3550,799,129.82
2.34,1.00,3627,4,1.00,3633,818,131.67
2.36,1.00,3714,4,1.00,3720,838,133.62
2.38,1.00,3805,4,1.00,3811,858,135.67
2.40,1.00,3901,4,1.00,3907,880,137.82
2.42,1.00,4002,4,1.00,4009,902,140.09
2.44,1.00,4105,4,1.00,4112,926,142.42
2.46,1.00,4207,4,1.00,4214,949,144.73
2.48,1.00,4309,4,1.00,4315,972,147.02
2.50,1.00,4409,4,1.00,4416,994,149.29
