Time (s),Throttle,Engine RPM,Gear,Clutch Engaged,Trans Input RPM,Roller RPM,Load Torque (Nm)
0.02,1.00,265,4,1.00,245,53,0.00
0.04,1.00,258,4,1.00,259,58,0.00
0.06,1.00,278,4,1.00,279,63,0.00
0.08,1.00,298,4,1.00,299,67,0.00
0.10,1.00,318,4,1.00,320,72,0.00
0.12,1.00,339,4,1.00,341,76,0.00
0.14,1.00,360,4,1.00,361,81,0.00
0.16,1.00,381,4,1.00,383,86,0.00
0.18,1.00,403,4,1.00,404,91,0.00
0.20,1.00,424,4,1.00,425,96,0.00
0.22,1.00,446,4,1.00,447,101,0.00
0.24,1.00,468,4,1.00,469,105,0.00
0.26,1.00,490,4,1.00,491,110,0.00
0.28,1.00,512,4,1.00,514,116,0.00
0.30,1.00,535,4,1.00,536,121,0.00
0.32,1.00,557,4,1.00,559,126,0.00
0.34,1.00,580,4,1.00,582,131,0.00
0.36,1.00,603,4,1.00,605,136,0.00
0.38,1.00,627,4,1.00,628,141,0.00
0.40,1.00,650,4,1.00,652,147,0.00
0.42,1.00,674,4,1.00,676,152,0.00
0.44,1.00,698,4,1.00,700,157,0.00
0.46,1.00,722,4,1.00,723,163,0.00
0.48,1.00,746,4,1.00,748,168,0.00
0.50,1.00,770,4,1.00,772,174,0.00
0.52,1.00,795,4,1.00,796,179,0.00
0.54,1.00,819,4,1.00,821,185,0.00
0.56,1.00,844,4,1.00,845,190,0.00
0.58,1.00,868,4,1.00,870,196,0.00
0.60,1.00,893,4,1.00,895,201,0.00
0.62,1.00,918,4,1.00,920,207,0.00
0.64,1.00,943,4,1.00,945,213,0.00
0.66,1.00,968,4,1.00,970,218,0.00
0.68,1.00,994,4,1.00,995,224,0.00
0.70,1.00,1019,4,1.00,1021,230,0.00
0.72,1.00,1045,4,1.00,1047,236,0.00
0.74,1.00,1071,4,1.00,1073,242,0.00
0.76,1.00,1098,4,1.00,1100,248,0.00
0.78,1.00,1126,4,1.00,1128,254,0.00
0.80,1.00,1154,4,1.00,1155,260,0.00
0.82,1.00,1182,4,1.00,1184,266,0.00
0.84,1.00,1210,4,1.00,1212,273,0.00
0.86,1.00,1239,4,1.00,1241,279,0.00
0.88,1.00,1268,4,1.00,1270,286,0.00
0.90,1.00,1298,4,1.00,1299,293,0.00
0.92,1.00,1327,4,1.00,1329,299,0.00
0.94,1.00,1357,4,1.00,1360,306,0.00
0.96,1.00,1388,4,1.00,1390,313,0.00
0.98,1.00,1419,4,1.00,1421,320,0.00
1.00,1.00,1450,4,1.00,1452,327,0.00
1.02,1.00,1482,4,1.00,1484,334,0.00
1.04,1.00,1514,4,1.00,1516,341,0.00
1.06,1.00,1546,4,1.00,1548,349,0.00
1.08,1.00,1579,4,1.00,1581,356,0.00
1.10,1.00,1612,4,1.00,1614,363,0.00
1.12,1.00,1645,4,1.00,1648,371,0.00
1.14,1.00,1679,4,1.00,1681,379,0.00
1.16,1.00,1713,4,1.00,1716,386,0.00
1.18,1.00,1748,4,1.00,1750,394,0.00
1.20,1.00,1783,4,1.00,1786,402,0.00
1.22,1.00,1819,4,1.00,1821,410,0.00
1.24,1.00,1855,4,1.00,1857,418,0.00
1.26,1.00,1891,4,1.00,1893,426,0.00
1.28,1.00,1928,4,1.00,1930,435,0.00
1.30,1.00,1965,4,1.00,1967,443,0.00
1.32,1.00,2002,4,1.00,2005,452,0.00
1.34,1.00,2041,4,1.00,2043,460,0.00
1.36,1.00,2080,4,1.00,2083,469,0.00
1.38,1.00,2120,4,1.00,2123,478,0.00
1.40,1.00,2162,4,1.00,2164,487,0.00
1.42,1.00,2204,4,1.00,2207,497,0.00
1.44,1.00,2247,4,1.00,2250,507,0.00
1.46,1.00,2292,4,1.00,2295,517,0.00
1.48,1.00,2337,4,1.00,2340,527,0.00
1.50,1.00,2381,4,1.00,2383,537,96.60
1.52,1.00,2416,4,1.00,2418,545,207.76
1.54,1.00,2444,4,1.00,2445,551,309.75
1.56,1.00,2463,4,1.00,2465,556,402.65
1.58,1.00,2477,4,1.00,2477,558,486.59
1.60,1.00,2483,4,1.00,2483,560,561.75
1.62,1.00,2484,4,1.00,2484,560,628.39
1.64,1.00,2480,4,1.00,2479,559,686.78
1.66,1.00,2471,4,1.00,2470,557,737.23
1.68,1.00,2458,4,1.00,2457,554,780.08
1.70,1.00,2441,4,1.00,2440,551,815.70
1.72,1.00,2422,4,1.00,2420,546,844.50
1.74,1.00,2399,4,1.00,2398,541,866.87
1.76,1.00,2375,4,1.00,2373,535,883.21
1.78,1.00,2348,4,1.00,2346,530,893.98
1.80,1.00,2320,4,1.00,2319,523,899.58
1.82,1.00,2292,4,1.00,2290,517,900.45
1.84,1.00,2263,4,1.00,2261,510,897.02
1.86,1.00,2233,4,1.00,2231,504,889.69
1.88,1.00,2203,4,1.00,2201,497,878.89
1.90,1.00,2174,4,1.00,2172,490,865.01
1.92,1.00,2145,4,1.00,2143,484,848.45
1.94,1.00,2117,4,1.00,2115,477,829.57
1.96,1.00,2090,4,1.00,2088,471,808.72
1.98,1.00,2064,4,1.00,2063,466,786.27
2.00,1.00,2040,4,1.00,2038,460,762.51
2.02,1.00,2016,4,1.00,2015,455,737.77
2.04,1.00,1994,4,1.00,1993,450,712.38
2.06,1.00,1974,4,1.00,1973,445,686.99
2.08,1.00,1956,4,1.00,1955,441,661.70
2.10,1.00,1940,4,1.00,1939,438,636.69
2.12,1.00,1926,4,1.00,1925,434,612.12
2.14,1.00,1913,4,1.00,1912,431,588.13
2.16,1.00,1902,4,1.00,1902,429,564.85
2.18,1.00,1893,4,1.00,1893,427,542.38
2.20,1.00,1886,4,1.00,1886,425,520.82
2.22,1.00,1880,4,1.00,1880,424,500.24
2.24,1.00,1876,4,1.00,1876,423,480.70
2.26,1.00,1874,4,1.00,1874,423,462.25
2.28,1.00,1873,4,1.00,1873,422,444.92
2.30,1.00,1873,4,1.00,1873,422,428.74
2.32,1.00,1875,4,1.00,1875,423,413.72
2.34,1.00,1878,4,1.00,1878,423,399.86
2.36,1.00,1882,4,1.00,1882,424,387.16
2.38,1.00,1887,4,1.00,1887,426,375.60
2.40,1.00,1893,4,1.00,1893,427,365.16
2.42,1.00,1900,4,1.00,1900,428,355.82
2.44,1.00,1908,4,1.00,1908,430,347.54
2.46,1.00,1916,4,1.00,1917,432,340.29
2.48,1.00,1925,4,1.00,1926,434,334.02
2.50,1.00,1935,4,1.00,1936,436,328.70
2.52,1.00,1945,4,1.00,1946,439,324.27
2.54,1.00,1956,4,1.00,1957,441,320.70
2.56,1.00,1967,4,1.00,1968,444,317.92
2.58,1.00,1978,4,1.00,1979,446,315.89
2.60,1.00,1990,4,1.00,1991,449,314.56
2.62,1.00,2002,4,1.00,2003,451,313.90
2.64,1.00,2014,4,1.00,2015,454,314.09
2.66,1.00,2026,4,1.00,2027,457,315.03
2.68,1.00,2039,4,1.00,2040,460,316.67
2.70,1.00,2052,4,1.00,2053,463,318.96
2.72,1.00,2065,4,1.00,2066,466,321.82
2.74,1.00,2078,4,1.00,2079,469,325.21
2.76,1.00,2091,4,1.00,2092,471,329.09
2.78,1.00,2104,4,1.00,2105,474,333.39
2.80,1.00,2117,4,1.00,2117,477,338.07
2.82,1.00,2129,4,1.00,2130,480,343.07
2.84,1.00,2142,4,1.00,2143,483,348.36
2.86,1.00,2155,4,1.00,2156,486,353.88
2.88,1.00,2167,4,1.00,2168,489,359.59
2.90,1.00,2179,4,1.00,2180,492,365.44
2.92,1.00,2192,4,1.00,2192,494,371.42
2.94,1.00,2203,4,1.00,2204,497,377.47
2.96,1.00,2215,4,1.00,2216,500,383.56
2.98,1.00,2227,4,1.00,2227,502,389.67
3.00,1.00,2238,4,1.00,2239,505,395.76
3.02,1.00,2249,4,1.00,2250,507,401.82
3.04,1.00,2260,4,1.00,2260,510,407.81
3.06,1.00,2270,4,1.00,2271,512,413.72
3.08,1.00,2281,4,1.00,2281,514,419.53
