Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,3.6,116.77,-23.61,-14.26,129.4,0.27,-0.36,0.00,1.00,0.00,1.00,3,6130,363.9,2.20,-0.89,-1.57,-6.45,1098,622,2072,-0.0689,-0.574,-0.002,-0.098,-2.54,-4.62,1066,-68,-830,0,0,3490,-0.0407,-0.339,-0.002,-0.098,-2.53,-4.63,1072,-78,-1362,0,0,3206,-0.0336,-0.280,0.075,-0.025,-3.00,-4.16,1149,2272,-1263,0,0,4395,-0.0052,-0.044,0.068,-0.032,-2.98,-4.18,1147,2900,-1733,0,0
0.240,7.9,112.43,-23.61,-14.23,130.7,0.33,-0.42,0.00,1.00,0.00,1.00,3,6186,361.9,2.20,-0.89,-1.57,-3.09,1119,629,2416,-0.0693,-0.003,-0.002,-0.098,-2.38,-4.78,1079,-75,-914,0,0,3684,-0.0398,0.007,-0.002,-0.098,-2.38,-4.79,1082,-88,-1363,0,0,3204,-0.0353,-0.014,0.072,-0.028,-2.60,-4.56,1159,2292,-1128,0,0,4211,-0.0072,-0.016,0.068,-0.032,-2.59,-4.57,1158,2877,-1476,0,0
0.360,12.3,108.05,-23.60,-14.27,132.0,0.33,-0.37,0.00,1.00,0.00,1.00,3,6191,361.7,2.20,-0.96,-1.45,-0.35,1142,630,2439,-0.0673,0.016,-0.002,-0.098,-1.95,-5.21,1091,-73,-771,0,0,3455,-0.0408,-0.008,-0.002,-0.098,-1.95,-5.21,1092,-83,-1074,0,0,3442,-0.0320,0.027,0.061,-0.039,-1.97,-5.19,1160,2321,-981,0,0,4309,-0.0055,0.014,0.059,-0.041,-1.97,-5.19,1159,2821,-1216,0,0
0.480,16.7,103.63,-23.59,-14.34,133.0,0.24,-0.02,0.34,0.44,0.00,1.00,3,6046,175.9,1.63,-0.79,-0.74,15.70,1162,624,3425,-0.0609,0.054,-0.003,-0.097,7.25,0.08,1097,-67,2741,0,0,2813,-0.0501,-0.077,0.001,-0.099,9.25,2.09,1083,26,2443,0,0,3923,-0.0268,0.043,0.022,-0.078,-0.81,-6.35,1132,1274,-552,0,0,2776,-0.0179,-0.104,0.033,-0.067,-0.82,-6.34,1132,1293,-395,0,0
0.600,21.2,99.19,-23.59,-14.39,133.6,0.13,0.17,0.00,1.00,0.00,1.00,3,6166,296.8,1.83,-0.73,0.05,18.11,1174,613,3686,-0.0425,0.153,-0.001,-0.099,0.47,-6.69,1113,-68,230,0,0,2941,-0.0537,-0.030,-0.002,-0.098,0.48,-6.69,1098,-78,187,0,0,4148,-0.0168,0.083,0.037,-0.063,1.70,-5.46,1155,1946,1035,0,0,3527,-0.0280,-0.084,0.050,-0.050,1.72,-5.44,1155,2111,872,0,0
0.720,25.6,94.72,-23.58,-14.41,134.7,0.27,0.28,0.00,1.00,0.00,1.00,3,6422,335.6,2.09,-0.54,0.28,10.43,1193,654,3059,-0.0485,-0.050,-0.002,-0.098,1.79,-5.37,1117,-67,859,0,0,2026,-0.0654,-0.098,-0.002,-0.098,1.80,-5.36,1108,-61,582,0,0,3210,-0.0160,0.007,0.074,-0.026,2.49,-4.67,1203,2313,1073,0,0,2341,-0.0330,-0.042,0.083,-0.017,2.51,-4.65,1204,1813,772,0,0
0.840,30.2,90.20,-23.59,-14.37,135.9,0.32,0.41,0.00,1.00,0.00,1.00,3,6320,352.0,2.17,-0.84,0.76,7.65,1212,681,4270,-0.0354,0.109,-0.001,-0.099,2.22,-4.94,1128,-84,1459,0,0,2537,-0.0599,0.046,-0.002,-0.098,2.23,-4.93,1121,-76,896,0,0,5344,-0.0082,0.065,0.047,-0.053,2.73,-4.43,1183,2783,2045,0,0,3905,-0.0327,0.002,0.054,-0.046,2.75,-4.41,1184,2292,1508,0,0
0.960,34.7,85.65,-23.58,-14.28,137.2,0.31,0.36,-0.21,1.00,0.00,1.00,3,6399,353.0,2.19,-0.79,0.86,-2.95,1234,687,2148,-0.0467,-0.094,0.001,-0.099,-4.05,-3.11,1132,8,-1066,0,0,1547,-0.0737,-0.116,-0.002,-0.098,-2.89,-4.28,1133,-52,-559,0,0,4301,0.0018,0.084,0.057,-0.043,2.18,-4.98,1198,2686,1348,0,0,3702,-0.0264,0.053,0.056,-0.044,2.18,-4.98,1199,2315,1173,0,0
1.080,39.3,81.05,-23.59,-14.16,138.4,0.30,0.05,0.00,1.00,0.00,1.00,3,6474,351.0,2.20,-0.83,0.39,-11.90,1254,663,4188,-0.0433,0.029,-0.002,-0.098,1.04,-6.12,1142,-119,750,0,0,3673,-0.0478,0.216,-0.002,-0.098,1.03,-6.13,1152,-103,658,0,0,3674,-0.0221,-0.199,0.060,-0.040,0.26,-6.91,1211,2714,174,0,0,5009,-0.0282,-0.015,0.050,-0.050,0.25,-6.91,1210,3277,237,0,0
1.200,43.9,76.41,-23.57,-14.03,139.8,0.32,0.01,0.00,1.00,0.00,1.00,3,6450,352.5,2.20,-1.14,0.33,-7.08,1284,659,1810,-0.0502,-0.058,-0.002,-0.098,-0.15,-7.01,1153,-53,-36,0,0,2030,-0.0541,-0.053,-0.001,-0.099,-0.15,-7.01,1159,-47,-41,0,0,4380,-0.0027,0.161,0.045,-0.055,-0.62,-6.54,1208,2587,-396,0,0,4499,-0.0068,0.178,0.041,-0.059,-0.61,-6.55,1208,2451,-409,0,0
1.320,48.6,71.73,-23.56,-13.91,141.0,0.30,-0.11,0.00,1.00,0.00,1.00,3,6688,344.0,2.20,-0.85,0.07,-5.00,1303,685,2889,-0.0573,-0.059,-0.002,-0.098,-0.71,-6.45,1165,-85,-329,0,0,3381,-0.0512,0.024,-0.002,-0.098,-0.71,-6.46,1169,-90,-380,0,0,3120,-0.0236,-0.174,0.074,-0.026,-1.03,-6.13,1252,2473,-444,0,0,4202,-0.0200,-0.110,0.069,-0.031,-1.03,-6.13,1250,3173,-596,0,0
1.440,53.4,67.01,-23.55,-13.81,142.4,0.31,-0.18,0.00,1.00,0.00,1.00,3,6611,347.0,2.20,-0.93,-0.10,-2.19,1328,703,2150,-0.0604,-0.025,-0.002,-0.098,-0.90,-6.26,1176,-62,-321,0,0,2787,-0.0497,0.012,-0.002,-0.098,-0.90,-6.26,1179,-65,-411,0,0,3732,-0.0219,0.014,0.051,-0.049,-1.04,-6.12,1238,2344,-587,0,0,4244,-0.0112,0.073,0.049,-0.051,-1.04,-6.12,1238,2570,-665,0,0
1.560,58.1,62.24,-23.55,-13.74,143.5,0.28,-0.16,0.00,0.00,0.00,1.00,3,6554,176.8,1.88,-0.80,-0.09,-0.58,1350,711,2870,-0.0608,-0.004,-0.002,-0.098,-0.81,-6.35,1188,-72,-385,0,0,3351,-0.0491,0.005,-0.001,-0.099,-0.81,-6.35,1188,-75,-446,0,0,3437,-0.0264,-0.037,0.032,-0.068,-0.85,-6.31,1226,1644,-464,0,0,3766,-0.0160,-0.040,0.031,-0.069,-0.85,-6.31,1225,1761,-506,0,0
1.680,62.9,57.46,-23.55,-13.69,143.0,-0.13,-0.14,0.00,0.00,0.00,1.00,3,6240,-69.3,0.40,-0.54,0.00,0.49,1352,700,3215,-0.0520,0.073,-0.001,-0.099,-0.59,-6.57,1184,-27,-315,0,0,3547,-0.0426,0.054,-0.001,-0.099,-0.59,-6.57,1183,-31,-346,0,0,3187,-0.0296,-0.027,-0.014,-0.086,-0.56,-6.60,1168,-668,-297,0,0,3444,-0.0202,-0.035,-0.013,-0.087,-0.56,-6.60,1168,-695,-319,0,0
1.800,67.6,52.72,-23.55,-13.65,142.1,-0.19,-0.09,0.00,0.00,0.00,1.00,3,6198,-69.0,0.22,-0.21,0.13,0.56,1343,682,3698,-0.0454,0.055,-0.001,-0.099,-0.37,-6.79,1177,-39,-229,0,0,3882,-0.0384,0.035,-0.001,-0.099,-0.37,-6.79,1177,-42,-240,0,0,2985,-0.0363,-0.056,-0.015,-0.085,-0.34,-6.82,1160,-687,-169,0,0,3058,-0.0303,-0.084,-0.015,-0.085,-0.34,-6.82,1160,-687,-173,0,0
1.920,72.4,48.00,-23.54,-13.63,141.3,-0.19,-0.06,0.00,0.00,0.00,1.00,3,6171,-68.8,0.20,-0.16,0.25,0.49,1331,669,3646,-0.0409,0.038,-0.001,-0.099,-0.21,-6.96,1171,-35,-126,0,0,3713,-0.0371,0.011,-0.001,-0.099,-0.21,-6.96,1170,-37,-128,0,0,3234,-0.0358,0.004,-0.014,-0.086,-0.18,-6.99,1156,-685,-95,0,0,3279,-0.0321,-0.015,-0.013,-0.087,-0.18,-6.99,1155,-680,-97,0,0
2.040,77.1,43.30,-23.54,-13.61,140.5,-0.19,-0.03,0.00,0.00,0.00,1.00,3,6132,-68.5,0.20,-0.10,0.33,0.41,1315,658,3677,-0.0416,-0.006,-0.001,-0.099,-0.10,-7.07,1164,-42,-59,0,0,3707,-0.0390,-0.016,-0.001,-0.099,-0.10,-7.07,1164,-38,-60,0,0,3087,-0.0370,-0.010,-0.014,-0.086,-0.07,-7.09,1148,-687,-37,0,0,3068,-0.0352,-0.026,-0.014,-0.086,-0.07,-7.09,1148,-675,-36,0,0
