Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
35.04,2,1913.5,485.64,-0.1,2690.57,250.8,0.01,0.0,0.0,0.0,1.0,1.0,5,7692,305.8,2.0,-0.54,0.0,-0.03,1307,1871,5279,0.0763,-0.001,-0.002,-0.098,-0.11,-5.92,2076,-153,-103,0,0,5284,0.0764,0.001,-0.002,-0.098,0.04,-5.99,2076,-126,75,0,0,5044,0.0996,-0.001,0.012,-0.088,0.19,-5.84,2105,1246,232,0,0,5049,0.0997,0.0,0.014,-0.086,-0.14,-5.89,2104,1337,-136,0,0
35.06,2,1914.9,485.64,-0.1,2691.96,249.8,-1.42,0.0,0.0,0.0,0.39,1.0,5,7194,218.5,1.83,-0.47,0.0,-0.07,1348,1854,5784,0.0769,0.029,-0.16,0.06,-0.1,-5.93,1744,-5804,-56,1482,1,5765,0.0769,0.027,-0.161,0.061,0.05,-5.98,1743,-5787,32,1482,1,4541,0.099,-0.032,-0.054,-0.046,0.23,-5.8,1951,-3496,192,2660,0,4523,0.099,-0.034,-0.054,-0.046,-0.15,-5.88,1951,-3502,-150,2660,0
35.08,2,1916.2,485.64,-0.1,2693.34,248.5,-1.82,0.01,0.0,0.0,1.0,1.0,5,7161,-91.8,1.42,-0.36,0.0,-0.02,1407,1833,6181,0.0794,0.126,-0.13,0.03,-0.06,-5.98,1791,-6099,-28,1927,0,6213,0.0794,0.124,-0.131,0.031,0.06,-5.97,1790,-6130,81,1927,0,4153,0.096,-0.148,-0.049,-0.051,0.18,-5.85,1952,-3022,143,1038,0,4180,0.096,-0.149,-0.049,-0.051,-0.23,-5.8,1953,-3033,-157,1038,0
35.1,2,1917.6,485.64,-0.1,2694.71,247.1,-2.04,0.0,0.0,0.0,0.82,1.0,5,6536,-69.9,1.02,-0.21,0.0,0.02,1483,1810,6655,0.0826,0.158,-0.148,0.048,-0.12,-5.92,1709,-6569,-67,4940,0,6635,0.0826,0.16,-0.148,0.048,0.05,-5.98,1708,-6553,45,4940,0,3830,0.0927,-0.165,-0.127,0.027,0.17,-5.86,1784,-3907,82,2660,0,3815,0.0928,-0.163,-0.127,0.027,-0.2,-5.83,1784,-3892,-95,2660,0
35.12,2,1919.0,485.64,-0.1,2696.08,245.6,-2.12,0.0,0.0,0.0,0.77,1.0,5,6274,-67.4,0.75,-0.05,0.0,0.0,1569,1787,6960,0.0863,0.186,-0.153,0.053,-0.13,-5.9,1735,-6841,-80,1215,1,6948,0.0863,0.182,-0.153,0.053,0.1,-5.93,1734,-6831,54,1215,1,3568,0.089,-0.188,-0.159,0.059,0.15,-5.88,1733,-3705,63,654,1,3557,0.0889,-0.192,-0.157,0.057,-0.09,-5.94,1733,-3694,-62,654,1
35.14,2,1920.3,485.64,-0.1,2697.43,244.1,-2.11,0.0,0.0,0.0,0.8,1.0,5,6238,-67.2,0.57,0.11,0.0,-0.05,1654,1765,7128,0.09,0.184,-0.152,0.052,-0.13,-5.9,1728,-6986,-67,1142,1,7112,0.0899,0.181,-0.153,0.053,0.05,-5.98,1726,-6973,62,1142,1,3388,0.0851,-0.192,-0.158,0.058,0.14,-5.89,1724,-3529,56,615,1,3376,0.085,-0.195,-0.158,0.058,-0.19,-5.84,1724,-3516,-65,615,1
35.16,2,1921.7,485.64,-0.1,2698.78,242.6,-2.1,0.0,0.0,0.0,0.8,1.0,5,6195,-66.5,0.45,0.26,0.0,-0.12,1734,1743,7230,0.0934,0.171,-0.156,0.056,-0.12,-5.91,1709,-7073,-71,1189,1,7214,0.0933,0.169,-0.158,0.058,0.06,-5.97,1706,-7060,68,1189,1,3273,0.0814,-0.184,-0.156,0.056,0.26,-5.78,1695,-3416,73,640,1,3260,0.0813,-0.186,-0.157,0.057,-0.2,-5.84,1695,-3404,-60,640,1
35.18,2,1923.0,485.64,-0.09,2700.11,241.1,-2.1,0.0,0.0,0.0,0.8,1.0,5,6175,-66.4,0.37,0.41,0.0,-0.05,1799,1722,7330,0.0966,0.158,-0.157,0.057,-0.01,-6.02,1695,-7159,-28,1190,1,7341,0.0965,0.16,-0.159,0.059,0.17,-5.86,1692,-7170,97,1190,1,3267,0.0781,-0.167,-0.154,0.054,0.14,-5.89,1689,-3409,48,641,1,3275,0.078,-0.164,-0.154,0.054,-0.19,-5.85,1689,-3417,-62,641,1
35.2,2,1924.3,485.64,-0.09,2701.44,239.6,-2.11,0.0,0.0,0.0,0.78,1.0,5,6111,-66.3,0.31,0.54,0.0,0.0,1859,1702,7405,0.0997,0.158,-0.154,0.054,-0.01,-6.02,1690,-7219,-46,1179,1,7414,0.0997,0.159,-0.156,0.056,0.17,-5.86,1687,-7228,103,1179,1,3262,0.0753,-0.138,-0.161,0.061,0.1,-5.93,1687,-3405,45,635,1,3269,0.0753,-0.138,-0.161,0.061,-0.2,-5.83,1687,-3412,-64,635,1
35.22,2,1925.7,485.64,-0.09,2702.77,238.1,-2.11,0.0,0.0,0.0,0.85,1.0,5,6107,-65.8,0.27,0.66,0.0,-0.01,1912,1682,7436,0.1025,0.14,-0.147,0.047,-0.1,-5.93,1662,-7242,-85,3855,0,7431,0.1024,0.14,-0.149,0.049,0.07,-5.97,1659,-7241,61,3855,0,3251,0.0728,-0.125,-0.154,0.054,0.1,-5.93,1671,-3394,44,623,1,3248,0.0728,-0.126,-0.154,0.054,-0.19,-5.84,1671,-3390,-61,623,1
