Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.120,5.3,-424.94,-23.48,-267.29,189.5,0.26,0.03,0.00,1.00,0.00,1.00,4,4989,1001.5,1.97,-0.05,-5.54,0.73,9084,1517,6909,0.0799,0.666,0.006,-0.094,-0.45,-6.71,1332,796,-633,0,0,7140,0.0845,0.704,0.006,-0.094,-0.21,-6.95,1332,798,-299,0,0,10273,0.1015,0.846,0.015,-0.085,-0.30,-6.86,1344,2638,-599,0,0,10584,0.1052,0.877,0.015,-0.085,-0.30,-6.86,1344,2726,-615,0,0
0.240,11.6,-424.74,-23.50,-260.95,190.9,0.31,0.05,0.00,1.00,0.00,1.00,4,5024,1002.0,1.98,-0.19,-5.51,0.87,9147,1538,6985,0.0793,-0.005,0.006,-0.094,-0.43,-6.73,1341,793,-608,0,0,7209,0.0830,-0.013,0.006,-0.094,-0.19,-6.97,1341,807,-274,0,0,10072,0.1014,-0.001,0.016,-0.084,-0.28,-6.89,1354,2638,-535,0,0,10329,0.1050,-0.002,0.016,-0.084,-0.28,-6.89,1353,2723,-546,0,0
0.360,18.0,-424.53,-23.51,-254.57,192.1,0.30,0.06,0.00,1.00,0.00,1.00,4,5057,1002.4,1.99,-0.27,-5.48,0.86,9267,1559,6802,0.0782,-0.009,0.007,-0.093,-0.41,-6.75,1351,793,-564,0,0,6913,0.0819,-0.009,0.006,-0.094,-0.17,-6.99,1350,802,-238,0,0,10410,0.1024,0.008,0.015,-0.085,-0.25,-6.91,1362,2708,-453,0,0,10593,0.1061,0.009,0.015,-0.085,-0.25,-6.91,1362,2753,-508,0,0
0.480,24.4,-424.30,-23.51,-248.16,192.0,-0.03,0.06,0.00,0.00,0.00,1.00,4,4982,-242.0,0.20,-0.28,-5.46,0.72,9327,1556,7158,0.0803,0.018,-0.002,-0.098,-0.40,-6.77,1338,-289,-572,0,0,7715,0.0836,0.015,-0.002,-0.098,-0.15,-7.01,1337,-301,-234,0,0,9941,0.1014,-0.008,-0.005,-0.095,-0.23,-6.93,1334,-920,-453,0,0,10179,0.1045,-0.013,-0.005,-0.095,-0.23,-6.93,1333,-902,-462,0,0
0.600,30.8,-424.07,-23.50,-241.79,190.7,-0.30,0.07,0.00,0.00,0.00,1.00,4,4949,-240.6,0.20,-0.21,-5.43,0.69,9332,1536,7550,0.0842,0.033,-0.002,-0.098,-0.40,-6.76,1329,-297,-600,0,0,7717,0.0873,0.031,-0.002,-0.098,-0.14,-7.02,1329,-299,-217,0,0,9569,0.0974,-0.033,-0.005,-0.095,-0.23,-6.93,1325,-911,-437,0,0,9790,0.1005,-0.034,-0.005,-0.095,-0.23,-6.93,1324,-897,-446,0,0
0.720,37.1,-423.83,-23.49,-235.44,190.9,0.03,0.07,0.00,1.00,0.00,1.00,4,5025,1002.0,1.98,-0.30,-5.41,0.82,9315,1537,6937,0.0830,-0.010,0.006,-0.094,-0.40,-6.76,1342,790,-559,0,0,7158,0.0866,-0.006,0.006,-0.094,-0.15,-7.02,1341,802,-209,0,0,9977,0.0981,0.006,0.016,-0.084,-0.24,-6.92,1354,2638,-462,0,0,10187,0.1009,0.003,0.016,-0.084,-0.24,-6.92,1354,2713,-470,0,0
0.840,43.5,-423.57,-23.47,-229.08,190.7,-0.03,0.06,0.00,0.00,0.00,1.00,4,4949,-240.6,0.20,-0.41,-5.39,0.72,9256,1536,7085,0.0817,-0.011,-0.002,-0.098,-0.40,-6.76,1329,-285,-568,0,0,7279,0.0847,-0.016,-0.002,-0.098,-0.15,-7.01,1328,-287,-218,0,0,10008,0.0998,0.014,-0.005,-0.095,-0.24,-6.92,1325,-916,-460,0,0,10252,0.1028,0.016,-0.005,-0.095,-0.24,-6.92,1325,-900,-470,0,0
0.960,49.8,-423.26,-23.45,-222.76,189.1,-0.36,0.84,0.00,0.00,0.00,1.00,4,4893,-238.1,0.20,-0.19,-4.87,32.87,9204,1510,9083,0.0913,0.081,-0.004,-0.096,-0.67,-6.49,1328,-904,1969,0,0,6396,0.0798,-0.040,-0.009,-0.091,-0.42,-6.74,1298,-1173,2418,0,0,11137,0.1038,0.033,-0.009,-0.091,1.25,-5.91,1320,-1647,2399,0,0,8239,0.0922,-0.089,-0.003,-0.097,1.27,-5.89,1304,-457,1883,0,0
1.080,56.1,-422.83,-23.43,-216.49,187.8,-0.28,0.86,0.00,1.00,0.00,1.00,4,4867,-237.1,0.20,0.03,-4.58,15.34,9129,1488,8427,0.0956,0.036,-0.002,-0.098,1.51,-5.65,1313,-301,2399,0,0,6649,0.0763,-0.029,-0.002,-0.098,1.78,-5.38,1301,-277,2286,0,0,10786,0.1070,0.027,-0.007,-0.093,2.51,-4.66,1306,-1160,4870,0,0,8558,0.0869,-0.044,-0.005,-0.095,2.53,-4.63,1298,-597,4025,0,0
1.200,62.4,-422.25,-23.43,-210.26,188.2,0.15,1.07,0.00,1.00,0.00,1.00,4,4959,1001.1,1.97,-0.04,-4.44,5.37,9068,1495,7686,0.0956,0.000,0.006,-0.094,1.52,-5.64,1324,805,2280,0,0,6076,0.0719,-0.037,0.008,-0.092,1.78,-5.39,1322,819,2141,0,0,11525,0.1108,0.032,0.016,-0.084,1.96,-5.20,1336,2694,4132,0,0,9415,0.0871,0.001,0.019,-0.081,1.96,-5.20,1337,2700,3481,0,0
1.320,68.7,-421.53,-23.42,-204.00,189.5,0.31,0.80,0.00,1.00,0.00,1.00,4,4989,1001.5,1.97,-0.19,-4.59,0.33,9065,1515,7144,0.0891,-0.054,0.006,-0.094,0.87,-6.30,1332,808,1247,0,0,6408,0.0706,-0.011,0.007,-0.093,1.11,-6.06,1332,793,1436,0,0,10655,0.1108,0.000,0.016,-0.084,1.02,-6.14,1344,2726,2074,0,0,9904,0.0920,0.042,0.016,-0.084,1.02,-6.14,1344,2633,1947,0,0
1.440,75.0,-420.73,-23.42,-197.71,190.7,0.30,0.46,0.00,1.00,0.00,1.00,4,5021,1002.0,1.98,-0.29,-4.88,-0.90,9145,1536,6738,0.0834,-0.048,0.007,-0.093,0.23,-6.93,1340,802,327,0,0,6740,0.0734,0.024,0.007,-0.093,0.47,-6.70,1341,795,647,0,0,10324,0.1076,-0.027,0.016,-0.084,0.31,-6.85,1352,2722,627,0,0,10140,0.0976,0.047,0.015,-0.085,0.31,-6.85,1353,2638,617,0,0
1.560,81.4,-419.88,-23.42,-191.39,192.0,0.30,0.23,0.00,1.00,0.00,1.00,4,5055,1002.4,1.99,-0.36,-5.10,-0.51,9251,1556,6817,0.0801,-0.027,0.006,-0.094,-0.16,-7.00,1349,797,-218,0,0,7047,0.0777,0.035,0.006,-0.094,0.07,-7.09,1349,796,112,0,0,10145,0.1037,-0.032,0.016,-0.084,-0.07,-7.09,1362,2683,-136,0,0,10326,0.1012,0.030,0.015,-0.085,-0.07,-7.09,1362,2673,-138,0,0
