Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
77.98,2,7069.6,-2316.6,-0.12,7868.95,373.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6420,957.2,2.31,-0.34,0.0,0.02,34831,5876,8340,0.1204,0.001,0.005,-0.095,-0.18,-6.98,2619,776,-299,0,0,8328,0.1204,0.0,0.007,-0.093,0.19,-6.97,2618,910,303,0,0,12772,0.1419,0.001,0.014,-0.086,0.0,-7.16,2638,2718,-8,0,0,12760,0.1419,-0.001,0.013,-0.087,-0.01,-7.16,2638,2681,-7,0,0
78.0,2,7071.7,-2316.6,-0.12,7871.01,371.9,-1.54,0.0,0.0,0.0,1.0,1.0,6,5941,541.5,1.54,-0.3,0.0,0.02,34764,5841,8799,0.1207,0.018,-0.096,-0.004,-0.18,-6.98,2332,-8536,-254,5850,0,8770,0.1207,0.016,-0.097,-0.003,0.18,-6.98,2331,-8540,248,5850,0,12357,0.1416,-0.015,-0.026,-0.074,0.0,-7.16,2528,-5001,-9,3150,0,12326,0.1415,-0.016,-0.025,-0.075,0.0,-7.16,2528,-4868,1,3150,0
78.02,2,7073.7,-2316.6,-0.12,7873.07,370.2,-2.43,0.0,0.0,0.0,1.0,1.0,6,5790,145.5,0.85,-0.26,0.01,0.0,34560,5787,9548,0.1223,0.08,-0.116,0.016,-0.19,-6.98,2272,-9697,-245,5850,0,9478,0.1222,0.076,-0.116,0.016,0.18,-6.98,2271,-9644,243,5850,0,12219,0.1408,-0.04,-0.037,-0.063,0.0,-7.16,2482,-6684,-6,3150,0,12145,0.1407,-0.043,-0.036,-0.064,-0.01,-7.16,2482,-6624,-6,3150,0
78.04,2,7075.8,-2316.6,-0.12,7875.12,368.3,-2.8,0.0,0.0,0.0,1.0,1.0,6,5652,-269.8,0.2,-0.22,0.01,-0.02,34294,5725,10162,0.124,0.085,-0.124,0.024,-0.18,-6.98,2267,-10325,-253,1755,1,10081,0.1238,0.081,-0.125,0.025,0.19,-6.97,2264,-10257,258,1755,1,12378,0.1407,-0.006,-0.063,-0.037,0.0,-7.16,2405,-9422,-5,3150,0,12293,0.1405,-0.01,-0.063,-0.037,0.0,-7.16,2405,-9411,-5,3150,0
78.06,2,7077.8,-2316.6,-0.12,7877.15,366.1,-3.03,0.0,0.0,0.0,1.0,1.0,6,5582,-267.3,0.2,-0.2,0.01,-0.02,33988,5658,10572,0.1255,0.075,-0.122,0.022,-0.18,-6.98,2259,-10643,-261,1755,1,10508,0.1254,0.076,-0.122,0.022,0.19,-6.97,2256,-10606,272,1755,1,12563,0.1408,0.005,-0.077,-0.023,0.0,-7.16,2358,-10365,-7,3150,0,12492,0.1406,0.005,-0.077,-0.023,0.0,-7.16,2358,-10346,-6,3150,0
78.08,2,7079.8,-2316.6,-0.12,7879.17,363.9,-3.09,0.0,0.0,0.0,1.0,1.0,6,5536,-265.8,0.2,-0.18,0.01,-0.01,33659,5590,10701,0.1266,0.051,-0.119,0.019,-0.18,-6.98,2227,-10710,-269,5850,0,10631,0.1263,0.049,-0.12,0.02,0.2,-6.97,2250,-10670,287,1755,1,12698,0.141,0.01,-0.084,-0.016,0.0,-7.16,2328,-10702,-7,3150,0,12625,0.1407,0.008,-0.083,-0.017,0.0,-7.16,2328,-10684,-3,3150,0
78.1,2,7081.8,-2316.6,-0.12,7881.18,361.7,-3.12,0.0,0.0,0.0,1.0,1.0,6,5501,-263.4,0.2,-0.17,0.01,-0.01,33306,5523,10694,0.127,0.023,-0.116,0.016,-0.19,-6.97,2221,-10696,-276,5850,0,10620,0.1268,0.023,-0.117,0.017,0.19,-6.97,2217,-10644,283,5850,0,12749,0.141,0.003,-0.086,-0.014,0.01,-7.15,2305,-10836,6,3150,0,12670,0.1408,0.004,-0.087,-0.013,0.0,-7.16,2305,-10852,-4,3150,0
78.12,2,7083.8,-2316.6,-0.12,7883.18,359.5,-3.12,0.0,0.0,0.0,1.0,1.0,6,5437,-262.1,0.2,-0.17,0.01,0.0,32938,5456,10548,0.127,0.001,-0.124,0.024,-0.19,-6.97,2212,-10658,-266,1755,1,10497,0.1268,0.001,-0.124,0.024,0.21,-6.95,2209,-10618,290,1755,1,12721,0.141,-0.003,-0.089,-0.011,0.0,-7.16,2287,-10932,-6,3150,0,12665,0.1408,-0.003,-0.089,-0.011,0.0,-7.16,2287,-10930,-4,3150,0
78.14,2,7085.8,-2316.6,-0.12,7885.16,357.3,-3.12,0.0,0.0,0.0,1.0,1.0,6,5406,-260.8,0.2,-0.17,0.01,0.0,32557,5389,10386,0.1268,-0.012,-0.122,0.022,-0.19,-6.97,2203,-10496,-265,1755,1,10278,0.1266,-0.013,-0.124,0.024,0.19,-6.97,2199,-10423,265,1755,1,12694,0.1408,-0.009,-0.09,-0.01,0.0,-7.16,2271,-10965,2,3150,0,12581,0.1405,-0.01,-0.09,-0.01,0.0,-7.16,2271,-10972,-8,3150,0
78.16,2,7087.8,-2316.6,-0.12,7887.14,355.1,-3.11,0.0,0.0,0.0,1.0,1.0,6,5374,-259.4,0.2,-0.16,0.01,-0.01,32181,5323,10285,0.1265,-0.017,-0.121,0.021,-0.19,-6.97,2192,-10384,-263,1755,1,10163,0.1261,-0.022,-0.123,0.023,0.19,-6.97,2187,-10318,264,1755,1,12563,0.1405,-0.015,-0.091,-0.009,0.0,-7.16,2256,-10997,-7,3150,0,12435,0.1401,-0.02,-0.09,-0.01,0.0,-7.16,2255,-10968,-2,3150,0
78.18,2,7089.7,-2316.6,-0.12,7889.1,352.9,-3.1,0.0,0.0,0.0,1.0,1.0,6,5342,-258.0,0.2,-0.16,0.01,-0.02,31802,5257,10166,0.1262,-0.013,-0.121,0.021,-0.19,-6.98,2180,-10277,-252,1755,1,10033,0.1258,-0.015,-0.122,0.022,0.21,-6.96,2174,-10193,272,1755,1,12440,0.14,-0.023,-0.09,-0.01,-0.01,-7.15,2241,-10989,-14,3150,0,12303,0.1396,-0.025,-0.09,-0.01,0.0,-7.16,2241,-10979,-1,3150,0
78.2,2,7091.7,-2316.6,-0.12,7891.05,350.7,-3.09,0.0,0.0,0.0,1.0,1.0,6,5308,-256.6,0.2,-0.16,0.01,-0.02,31421,5192,10046,0.1258,-0.021,-0.121,0.021,-0.18,-6.98,2166,-10175,-254,1755,1,9902,0.1254,-0.022,-0.123,0.023,0.2,-6.96,2159,-10089,267,1755,1,12317,0.1395,-0.024,-0.091,-0.009,0.0,-7.16,2228,-10997,-9,3150,0,12165,0.1391,-0.025,-0.09,-0.01,0.0,-7.16,2228,-10994,-8,3150,0
78.22,2,7093.6,-2316.6,-0.12,7892.98,348.6,-3.08,0.0,0.0,0.0,1.0,1.0,6,5272,-255.1,0.2,-0.15,0.02,-0.03,31042,5128,10003,0.1255,-0.015,-0.121,0.021,-0.18,-6.98,2151,-10148,-252,1755,1,9828,0.125,-0.019,-0.124,0.024,0.19,-6.97,2142,-10039,260,1755,1,12219,0.1391,-0.023,-0.091,-0.009,-0.01,-7.16,2214,-10997,-9,3150,0,12035,0.1386,-0.027,-0.091,-0.009,-0.01,-7.16,2214,-10995,-8,3150,0
