Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.000,1,0.0,-2316.59,0.00,799.39,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,850,0.0,0.00,0.00,0.00,0.00,0,0,0,0.0000,0.000,0.000,-0.100,0.00,-7.16,0,0,0,0,0,0,0.0000,0.000,0.000,-0.100,0.00,-7.16,0,0,0,0,0,0,0.0000,0.000,0.000,-0.100,0.00,-7.16,0,0,0,0,0,0,0.0000,0.000,0.000,-0.100,0.00,-7.16,0,0,0,0,0
0.020,1,0.0,-2316.59,0.00,799.39,0.0,0.01,0.00,0.00,1.00,0.00,0.00,0,885,125.8,0.47,0.05,0.00,-0.01,0,0,3201,0.0082,0.408,0.016,-0.084,0.05,-7.11,0,75,1,0,0,3199,0.0082,0.408,0.014,-0.086,0.02,-7.15,0,73,1,0,0,3553,0.0159,0.793,-0.001,-0.099,-0.02,-7.15,0,58,-1,0,0,3553,0.0159,0.793,0.005,-0.095,-0.02,-7.15,0,83,1,0,0
0.040,1,0.0,-2316.59,0.00,799.39,0.4,0.02,0.00,0.00,1.00,0.00,0.00,0,1025,271.7,0.76,0.09,0.00,-0.01,0,0,4329,0.0118,0.184,-0.005,-0.095,0.01,-7.15,0,67,3,0,0,4330,0.0118,0.184,-0.005,-0.095,0.01,-7.15,0,66,2,0,0,4733,0.0174,0.077,-0.006,-0.094,-0.02,-7.14,0,67,-2,0,0,4731,0.0174,0.078,0.011,-0.089,-0.02,-7.14,0,80,-1,0,0
0.060,1,0.0,-2316.59,-0.01,799.39,0.6,0.02,0.00,0.00,1.00,0.00,0.00,0,1249,386.4,1.09,0.12,0.00,0.00,0,0,5145,0.0167,0.242,-0.002,-0.098,0.00,-7.16,0,53,2,0,0,5144,0.0167,0.242,-0.002,-0.098,0.00,-7.16,0,60,2,0,0,5696,0.0205,0.155,-0.001,-0.099,0.00,-7.16,0,62,-4,0,0,5695,0.0205,0.155,-0.002,-0.098,0.00,-7.16,0,74,-2,0,0
0.080,1,0.0,-2316.59,-0.01,799.39,0.8,0.01,0.00,0.00,1.00,0.00,0.00,0,1532,441.4,1.16,0.16,0.00,0.01,0,0,5743,0.0223,0.279,0.008,-0.092,-0.04,-7.12,0,-79,0,0,0,5743,0.0223,0.279,0.009,-0.091,-0.03,-7.14,0,-77,1,0,0,6489,0.0246,0.203,-0.008,-0.092,0.02,-7.14,0,-25,-3,0,0,6488,0.0246,0.203,-0.007,-0.093,0.02,-7.14,0,-60,-1,0,0
0.100,1,0.0,-2316.59,-0.02,799.39,0.9,-0.02,0.00,0.00,1.00,0.00,0.00,0,1856,506.3,1.23,0.18,0.00,0.02,0,0,6237,0.0282,0.295,0.013,-0.087,-0.06,-7.10,0,-84,-6,0,0,6238,0.0282,0.295,-0.005,-0.095,-0.06,-7.10,0,-98,-5,0,0,7064,0.0291,0.227,-0.003,-0.097,0.06,-7.10,0,-67,4,0,0,7064,0.0291,0.227,-0.004,-0.096,0.06,-7.10,0,-93,4,0,0
0.120,1,0.0,-2316.59,-0.02,799.39,0.9,-0.01,0.00,0.00,1.00,0.00,0.00,0,2229,587.2,1.32,0.21,0.00,0.02,0,0,6615,0.0340,0.292,-0.004,-0.096,-0.06,-7.10,0,-89,-16,0,0,6615,0.0340,0.292,-0.002,-0.098,-0.06,-7.10,0,-95,-11,0,0,7513,0.0338,0.234,0.001,-0.099,0.07,-7.09,0,-16,12,0,0,7512,0.0338,0.234,0.000,-0.100,0.07,-7.09,0,-108,13,0,0
0.140,1,0.0,-2316.59,-0.03,799.39,0.9,-0.01,0.00,0.00,1.00,0.00,0.00,0,2665,680.0,1.42,0.22,0.00,0.03,0,0,6885,0.0395,0.275,-0.003,-0.097,-0.08,-7.08,0,-82,-27,0,0,6886,0.0395,0.275,-0.001,-0.099,-0.06,-7.10,0,-89,-18,0,0,7865,0.0383,0.226,0.001,-0.099,0.08,-7.08,0,81,22,0,0,7865,0.0383,0.226,0.001,-0.099,0.08,-7.08,0,-69,23,0,0
0.160,1,0.0,-2316.59,-0.03,799.39,0.8,0.01,0.00,0.00,1.00,0.00,0.05,1,3147,766.9,1.53,0.24,0.00,0.01,0,0,7063,0.0445,0.249,0.027,-0.073,-0.03,-7.13,0,63,-35,0,0,7065,0.0445,0.249,0.023,-0.077,-0.02,-7.15,0,64,-24,0,0,8115,0.0424,0.207,0.075,-0.025,0.04,-7.12,1,473,32,0,0,8115,0.0424,0.207,0.082,-0.018,0.04,-7.12,1,485,32,0,0
0.180,1,0.0,-2316.59,-0.03,799.39,0.7,0.17,0.00,0.00,1.00,0.00,0.15,1,3599,850.7,1.64,0.25,0.00,-0.05,0,0,7135,0.0487,0.213,0.012,-0.088,0.15,-7.01,1,393,-24,0,0,7141,0.0487,0.213,0.029,-0.071,0.17,-6.99,1,407,-10,0,0,8293,0.0461,0.183,0.064,-0.036,-0.10,-7.06,2,1693,23,0,0,8301,0.0461,0.184,0.065,-0.035,-0.10,-7.06,2,1686,21,0,0
0.200,1,0.0,-2316.59,-0.04,799.39,0.7,0.36,0.00,0.00,1.00,0.00,0.25,1,3997,910.7,1.73,0.25,0.00,-0.06,0,0,7022,0.0520,0.166,-0.017,-0.083,0.20,-6.96,3,420,1,0,0,7041,0.0521,0.167,-0.032,-0.068,0.23,-6.93,3,399,17,0,0,8425,0.0494,0.163,0.048,-0.052,-0.13,-7.03,4,2745,3,0,0,8447,0.0494,0.165,0.049,-0.051,-0.13,-7.03,4,2736,-1,0,0
0.220,1,0.0,-2316.59,-0.04,799.39,0.9,0.53,0.00,0.00,1.00,0.00,0.35,1,4331,962.3,1.81,0.24,0.00,-0.02,0,0,6782,0.0544,0.117,0.033,-0.067,0.02,-7.14,6,826,14,0,0,6796,0.0545,0.120,0.043,-0.057,0.09,-7.07,7,810,34,0,0,8534,0.0523,0.146,0.087,-0.013,-0.09,-7.07,7,4085,-14,0,0,8551,0.0524,0.148,0.087,-0.013,-0.07,-7.09,7,4078,-17,0,0
0.240,1,0.1,-2316.59,-0.04,799.40,1.4,0.73,0.00,0.00,1.00,0.00,0.45,1,4592,993.6,1.88,0.21,0.00,0.03,0,0,6497,0.0558,0.073,-0.046,-0.054,-0.14,-7.02,9,1127,4,0,0,6529,0.0560,0.074,-0.038,-0.062,-0.02,-7.14,9,1128,33,0,0,8599,0.0549,0.131,0.018,-0.082,0.08,-7.08,10,5439,-13,0,0,8636,0.0551,0.133,0.020,-0.080,0.07,-7.09,10,5455,-16,0,0
0.260,1,0.1,-2316.59,-0.04,799.41,2.0,0.93,0.00,0.00,1.00,0.00,0.55,1,4760,997.5,1.92,0.18,-0.01,0.05,0,0,6196,0.0565,0.031,-0.105,0.005,-0.23,-6.94,13,1357,-19,0,0,6241,0.0567,0.035,-0.108,0.008,-0.06,-7.11,13,1373,23,0,0,8703,0.0573,0.117,-0.004,-0.096,0.12,-7.04,14,6897,2,0,0,8752,0.0575,0.121,-0.006,-0.094,0.12,-7.04,14,6922,0,0,0
0.280,1,0.1,-2316.59,-0.04,799.43,2.7,1.10,0.00,0.00,0.00,0.00,0.65,1,4827,998.9,1.94,0.13,-0.01,0.03,1,0,5914,0.0564,-0.003,-0.048,-0.052,-0.23,-6.93,18,2369,-37,0,0,5957,0.0567,0.001,-0.062,-0.038,0.00,-7.16,18,2364,17,0,0,8795,0.0594,0.108,0.379,0.279,0.03,-7.13,26,8351,11,0,0,8844,0.0597,0.112,0.377,0.277,0.04,-7.12,26,8380,10,0,0
0.300,1,0.1,-2316.59,-0.04,799.45,3.5,1.08,0.00,0.00,0.00,0.00,0.55,1,4748,562.7,1.35,0.09,-0.01,0.00,2,1,5703,0.0558,-0.029,0.175,0.075,-0.07,-7.09,28,2325,-45,0,0,5760,0.0562,-0.027,0.162,0.062,0.07,-7.09,27,2306,21,0,0,8823,0.0614,0.101,0.388,0.288,0.00,-7.16,34,6779,13,0,0,8887,0.0618,0.103,0.385,0.285,-0.01,-7.15,34,6801,12,0,0
