Time_s,TestPhase,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
0.000,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,800,0.0,0.00,0.00,0.00,0.00,0,0,0,-0.0196,-0.979,0.000,-0.071,0.00,-7.16,0,0,0,0,0,0,-0.0196,-0.979,0.000,-0.071,0.00,-7.16,0,0,0,0,0,0,-0.0205,-1.026,0.000,-0.071,0.00,-7.16,0,0,0,0,0,0,-0.0205,-1.026,0.000,-0.071,0.00,-7.16,0,0,0,0,0
0.020,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,790,12.4,0.31,0.00,0.00,0.00,0,0,5524,-0.0191,0.025,0.002,-0.070,0.00,-7.16,0,20,0,0,0,5525,-0.0191,0.025,0.002,-0.070,0.00,-7.16,0,20,0,0,0,4531,-0.0192,0.066,0.002,-0.070,0.00,-7.16,0,17,0,0,0,4531,-0.0192,0.066,0.002,-0.070,0.00,-7.16,0,17,0,0,0
0.040,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,816,78.1,0.41,0.00,0.00,0.00,0,0,5519,-0.0192,-0.005,0.000,-0.071,0.00,-7.16,0,24,0,0,0,5517,-0.0192,-0.005,0.000,-0.071,0.00,-7.16,0,24,0,0,0,4527,-0.0194,-0.010,0.000,-0.071,0.00,-7.16,0,20,0,0,0,4527,-0.0194,-0.010,0.000,-0.071,0.00,-7.16,0,20,0,0,0
0.060,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,881,156.9,0.53,0.01,0.00,0.00,0,0,5513,-0.0193,-0.005,-0.002,-0.070,0.00,-7.16,0,9,0,0,0,5512,-0.0193,-0.005,-0.002,-0.070,0.00,-7.16,0,8,0,0,0,4523,-0.0196,-0.009,-0.002,-0.069,0.00,-7.16,0,6,0,0,0,4523,-0.0196,-0.009,-0.002,-0.070,0.00,-7.16,0,6,0,0,0
0.080,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,990,234.9,0.65,0.01,0.00,0.00,0,0,5511,-0.0194,-0.005,-0.002,-0.070,0.00,-7.16,0,-12,0,0,0,5509,-0.0194,-0.005,-0.002,-0.070,0.00,-7.16,0,-13,0,0,0,4519,-0.0198,-0.009,-0.002,-0.070,0.00,-7.16,0,-11,0,0,0,4519,-0.0198,-0.009,-0.002,-0.070,0.00,-7.16,0,-11,0,0,0
0.100,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1141,313.4,0.79,0.01,0.00,0.00,0,0,5510,-0.0194,-0.004,0.000,-0.071,0.00,-7.16,0,-22,0,0,0,5509,-0.0194,-0.004,0.000,-0.071,0.00,-7.16,0,-23,0,0,0,4514,-0.0199,-0.009,0.000,-0.071,0.00,-7.16,0,-19,0,0,0,4514,-0.0199,-0.009,0.000,-0.071,0.00,-7.16,0,-19,0,0,0
0.120,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1333,377.7,0.96,0.01,0.00,0.00,0,0,5510,-0.0195,-0.003,0.001,-0.070,0.00,-7.16,0,-14,0,0,0,5510,-0.0195,-0.003,0.001,-0.070,0.00,-7.16,0,-15,0,0,0,4511,-0.0201,-0.008,0.001,-0.070,0.00,-7.16,0,-14,0,0,0,4511,-0.0201,-0.008,0.001,-0.070,0.00,-7.16,0,-13,0,0,0
0.140,1,0.0,-0.26,-0.52,0.73,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1565,484.4,1.14,0.01,0.00,0.00,0,0,5510,-0.0196,-0.002,0.001,-0.070,0.00,-7.16,0,2,0,0,0,5510,-0.0196,-0.002,0.001,-0.070,0.00,-7.16,0,0,0,0,0,4509,-0.0202,-0.007,0.001,-0.070,0.00,-7.16,0,0,0,0,0,4510,-0.0202,-0.007,0.001,-0.070,0.00,-7.16,0,0,0,0,0
0.160,1,0.0,-0.26,-0.52,0.73,0.0,0.01,0.00,0.00,0.74,0.00,0.05,1,1854,579.0,1.29,0.02,0.00,0.00,0,0,5509,-0.0196,-0.002,0.065,-0.006,0.00,-7.16,1,129,0,0,0,5509,-0.0196,-0.002,0.066,-0.006,0.00,-7.16,1,129,0,0,0,4510,-0.0204,-0.006,0.097,0.025,0.00,-7.16,2,165,0,0,0,4510,-0.0204,-0.006,0.097,0.025,0.00,-7.16,2,165,0,0,0
0.180,1,0.0,-0.26,-0.52,0.73,0.1,0.13,0.00,0.00,1.00,0.00,0.15,1,2060,481.0,1.20,0.01,0.00,0.00,0,0,5454,-0.0197,-0.006,0.023,-0.048,0.00,-7.16,1,701,0,0,0,5453,-0.0197,-0.006,0.023,-0.048,0.00,-7.16,1,701,0,0,0,4561,-0.0204,0.000,0.055,-0.017,0.00,-7.16,2,1057,0,0,0,4561,-0.0204,0.000,0.055,-0.017,0.00,-7.16,2,1057,0,0,0
