===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1320 kg
0-100 km/h Time: 2.86 sec
Braking Distance (100-0): 53.5 meters
Peak Acceleration: 1.44 G
Peak Braking: 2.17 G
Peak Lateral Grip: 1.82 G
Peak Downforce Generated: 52529 N (approx 5355 kg)
Peak Engine Speed: 8287 RPM
Peak Manifold Pressure: 2.50 Bar
Top Speed Reached: 317.2 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load,FL_Slip,FL_SlipAng,FL_Trav,FL_RPM,FR_Load,FR_Slip,FR_SlipAng,FR_Trav,FR_RPM,RL_Load,RL_Slip,RL_SlipAng,RL_Trav,RL_RPM,RR_Load,RR_Slip,RR_SlipAng,RR_Trav,RR_RPM
4.620,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,1,891,0.0,0.12,-0.05,0.00,0.00,0,0,3126,0.000,0.00,0.037,0,3126,0.000,0.00,0.037,0,3349,0.000,0.00,0.039,0,3349,0.000,0.00,0.039,0
4.640,Launching,0.0,0.04,0.00,0.00,1.00,0.00,0.00,1,994,219.2,1.00,-0.05,0.00,0.00,0,0,3131,0.096,0.00,0.037,-5,3131,0.096,0.00,0.037,-5,3343,0.105,0.00,0.039,-5,3343,0.105,0.00,0.039,-5
4.660,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1167,233.8,1.03,-0.05,0.00,0.00,0,0,3119,-0.097,0.00,0.037,5,3119,-0.097,0.00,0.037,5,3355,-0.103,0.00,0.039,6,3355,-0.103,0.00,0.039,6
4.680,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,1352,250.9,1.05,-0.05,0.00,0.00,0,0,3133,0.095,0.00,0.037,-5,3133,0.095,0.00,0.037,-5,3342,0.105,0.00,0.039,-5,3342,0.105,0.00,0.039,-5
4.700,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1551,269.5,1.08,-0.05,0.00,0.00,0,0,3120,-0.097,0.00,0.037,5,3120,-0.097,0.00,0.037,5,3355,-0.103,0.00,0.039,5,3355,-0.103,0.00,0.039,5
4.720,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,1766,289.9,1.11,-0.05,0.00,0.00,0,0,3133,0.095,0.00,0.037,-5,3133,0.095,0.00,0.037,-5,3342,0.105,0.00,0.039,-5,3342,0.105,0.00,0.039,-5
4.740,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,1996,312.3,1.14,-0.05,0.00,0.00,0,0,3120,-0.097,0.00,0.037,5,3120,-0.097,0.00,0.037,5,3354,-0.103,0.00,0.039,5,3354,-0.103,0.00,0.039,5
4.760,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,2243,334.3,1.17,-0.05,0.00,0.00,0,0,3134,0.095,0.00,0.037,-5,3133,0.095,0.00,0.037,-5,3342,0.105,0.00,0.039,-5,3342,0.105,0.00,0.039,-5
4.780,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,2508,358.1,1.20,-0.05,0.00,0.00,0,0,3120,-0.097,0.00,0.037,5,3120,-0.097,0.00,0.037,5,3354,-0.103,0.00,0.039,5,3354,-0.103,0.00,0.039,5
4.800,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,2793,384.3,1.23,-0.05,0.00,0.00,0,0,3134,0.095,0.00,0.037,-5,3133,0.095,0.00,0.037,-5,3342,0.105,0.00,0.039,-5,3342,0.105,0.00,0.039,-5
4.820,Launching,0.0,-0.08,0.00,0.00,1.00,0.00,0.00,1,3097,411.3,1.26,-0.05,0.00,0.00,0,0,3120,-0.097,0.00,0.037,5,3120,-0.097,0.00,0.037,5,3354,-0.103,0.00,0.039,5,3354,-0.103,0.00,0.039,5
4.840,Launching,0.0,0.08,0.00,0.00,1.00,0.00,0.00,1,3421,434.7,1.30,-0.05,0.00,0.00,0,0,3133,0.095,0.00,0.037,-5,3133,0.095,0.00,0.037,-5,3342,0.105,0.00,0.039,-5,3342,0.105,0.00,0.039,-5
4.860,Launching,0.0,0.01,0.00,0.00,1.00,0.00,0.07,1,3731,459.5,1.34,-0.05,0.00,-0.17,0,0,3111,-0.043,0.07,0.037,7,3111,-0.029,0.07,0.037,7,3362,-0.089,-0.06,0.039,7,3362,-0.011,-0.06,0.039,6
4.880,Launching,0.4,0.49,0.00,0.00,1.00,0.00,0.17,1,3948,482.7,1.38,-0.06,0.00,-0.37,0,0,3057,0.101,0.37,0.037,2,3058,0.055,0.38,0.037,4,3406,0.145,-0.34,0.040,-1,3407,0.045,-0.34,0.040,8
4.900,Launching,0.9,0.73,0.00,0.00,1.00,0.00,0.27,1,4067,502.2,1.42,-0.08,0.00,-0.70,0,0,2946,0.024,0.40,0.036,10,2949,0.092,0.40,0.036,13,3505,-0.038,-0.34,0.040,16,3507,0.321,-0.34,0.040,25
4.920,Launching,1.6,1.01,0.00,0.00,1.00,0.00,0.31,1,4119,519.6,1.47,-0.11,0.00,-0.50,1,0,2825,0.061,0.43,0.035,15,2830,0.286,0.43,0.035,29,3621,0.211,-0.35,0.041,15,3625,0.579,-0.35,0.041,46
4.940,Launching,2.4,1.07,0.00,0.00,1.00,0.00,0.33,1,4157,537.2,1.51,-0.15,0.00,-0.44,2,0,2716,0.083,0.29,0.035,23,2720,0.667,0.29,0.035,56,3738,0.003,-0.21,0.042,24,3742,0.696,-0.21,0.042,56
4.960,Launching,3.2,1.12,0.00,0.00,1.00,0.00,0.34,1,4189,554.7,1.56,-0.19,0.00,-0.39,4,0,2632,0.159,0.24,0.034,33,2636,1.174,0.25,0.034,90,3837,-0.010,-0.16,0.043,34,3840,0.752,-0.16,0.043,65
4.980,Launching,4.0,1.17,0.00,0.00,1.00,0.00,0.36,1,4218,572.4,1.60,-0.22,0.00,-0.25,6,1,2575,0.394,0.27,0.033,53,2578,1.758,0.28,0.033,129,3914,0.111,-0.19,0.044,30,3916,0.795,-0.19,0.044,75
5.000,Launching,4.8,1.16,0.00,0.00,1.00,0.00,0.37,1,4244,590.2,1.65,-0.25,0.00,-0.25,8,1,2538,0.847,0.22,0.032,85,2540,2.429,0.24,0.032,172,3969,0.032,-0.14,0.044,39,3971,0.874,-0.14,0.044,84
5.020,Launching,5.6,1.19,0.00,0.00,1.00,0.00,0.38,1,4269,608.1,1.69,-0.28,0.00,-0.19,11,1,2519,1.476,0.22,0.031,126,2520,3.207,0.24,0.031,221,4002,0.095,-0.15,0.045,44,4003,0.922,-0.15,0.045,94
5.040,Launching,6.5,1.19,0.00,0.00,1.00,0.00,0.40,1,4294,626.2,1.74,-0.30,0.00,-0.18,15,2,2511,2.249,0.17,0.031,175,2511,4.093,0.19,0.031,276,4019,0.027,-0.11,0.046,54,4019,0.995,-0.11,0.046,103
5.060,Launching,7.3,1.22,0.00,0.00,1.00,0.00,0.41,1,4318,644.4,1.78,-0.31,0.00,-0.12,19,2,2513,3.118,0.15,0.030,231,2512,5.018,0.18,0.030,337,4020,0.078,-0.11,0.046,58,4019,1.042,-0.11,0.046,114
5.080,Launching,8.2,1.24,0.00,0.00,1.00,0.00,0.42,1,4343,662.7,1.83,-0.32,0.00,-0.10,24,3,2518,3.690,0.11,0.030,295,2516,5.455,0.15,0.030,405,4012,0.058,-0.08,0.046,66,4010,1.002,-0.08,0.046,125
