===== VEHICLE DYNAMICS BENCHMARK REPORT =====
Test Weight: 1320 kg
0-100 km/h Time: 3.64 sec
Braking Distance (100-0): 51.5 meters
Peak Acceleration: 2.56 G
Peak Braking: 8.38 G
Peak Lateral Grip: 5.68 G
Peak Downforce Generated: 40705 N (approx 4149 kg)
Peak Engine Speed: 8120 RPM
Peak Manifold Pressure: 3.49 Bar
Top Speed Reached: 295.1 km/h
=============================================

Time,TestStage,SpeedKmh,Accel_Long_G,Accel_Lat_G,Steer,Throttle,Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_Downforce_N,Aero_Drag_N,FL_Load_N,FL_Travel_m,FL_Slip,FL_SlipAng_deg,FL_RPM,FL_LongForce_N,FL_LatForce_N,FL_BrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_Slip,FR_SlipAng_deg,FR_RPM,FR_LongForce_N,FR_LatForce_N,FR_BrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_Slip,RL_SlipAng_deg,RL_RPM,RL_LongForce_N,RL_LatForce_N,RL_BrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_Slip,RR_SlipAng_deg,RR_RPM,RR_LongForce_N,RR_LatForce_N,RR_BrakeTrq_Nm,RR_ABS_Active
4.680,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,876,0.0,0.29,-0.05,0.00,0.00,0,0,3125,-0.001,0.000,0.00,0,3,0,6000,0,3125,-0.001,0.000,0.00,0,3,0,6000,0,3349,0.001,0.000,0.00,0,3,0,6000,0,3349,0.001,0.000,0.00,0,3,0,6000,0
4.700,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,921,104.4,0.30,-0.05,0.00,0.00,0,0,3126,-0.001,0.001,0.00,0,2,0,0,0,3126,-0.001,0.001,0.00,0,2,0,0,0,3349,0.001,0.001,0.00,0,2,0,0,0,3349,0.001,0.001,0.00,0,2,0,0,0
4.720,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1043,204.1,0.31,-0.05,0.00,0.00,0,0,3126,-0.001,0.001,0.00,0,1,0,0,0,3126,-0.001,0.001,0.00,0,1,0,0,0,3349,0.001,0.001,0.00,0,2,0,0,0,3349,0.001,0.001,0.00,0,2,0,0,0
4.740,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1215,229.6,0.33,-0.05,0.00,0.00,0,0,3126,-0.001,0.001,0.00,0,0,0,0,0,3126,-0.001,0.001,0.00,0,0,0,0,0,3348,0.001,0.001,0.00,0,1,0,0,0,3348,0.001,0.001,0.00,0,1,0,0,0
4.760,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1394,239.2,0.34,-0.05,0.00,0.00,0,0,3126,-0.001,0.001,0.00,0,-1,0,0,0,3126,-0.001,0.001,0.00,0,-1,0,0,0,3348,0.001,0.001,0.00,0,0,0,0,0,3348,0.001,0.001,0.00,0,0,0,0,0
4.780,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1581,249.2,0.36,-0.05,0.00,0.00,0,0,3126,-0.001,0.000,0.00,0,-1,0,0,0,3126,-0.001,0.000,0.00,0,-1,0,0,0,3348,0.001,0.001,0.00,0,-1,0,0,0,3348,0.001,0.001,0.00,0,-1,0,0,0
4.800,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1775,259.7,0.38,-0.05,0.00,0.00,0,0,3127,-0.001,0.000,0.00,0,-1,0,0,0,3127,-0.001,0.000,0.00,0,-1,0,0,0,3348,0.001,0.001,0.00,0,-1,0,0,0,3348,0.001,0.001,0.00,0,-1,0,0,0
4.820,Launching,0.0,0.00,0.00,0.00,1.00,0.00,0.00,0,1978,270.5,0.39,-0.05,0.00,0.00,0,0,3127,-0.001,-0.001,0.00,0,-1,0,0,0,3127,-0.001,-0.001,0.00,0,-1,0,0,0,3348,0.001,0.000,0.00,0,-2,0,0,0,3348,0.001,0.000,0.00,0,-2,0,0,0
4.840,Launching,0.0,0.02,0.00,0.00,1.00,0.00,0.05,1,2175,279.6,0.41,-0.05,0.00,-0.05,0,0,3121,-0.001,0.157,0.10,2,353,2,0,0,3121,-0.001,0.229,0.10,4,516,2,0,0,3352,0.001,0.078,-0.09,1,152,-2,0,0,3352,0.001,0.294,-0.09,4,751,-2,0,0
4.860,Launching,0.3,0.35,0.00,0.00,1.00,0.00,0.15,1,2276,284.3,0.42,-0.07,0.00,-0.82,0,0,3008,-0.001,0.134,2.23,4,1209,129,0,0,3009,-0.001,0.202,2.23,6,1807,120,0,0,3442,0.001,0.058,-2.07,3,149,-146,0,0,3443,0.001,0.345,-2.07,8,2869,-111,0,0
