Time_s,Distance_m,PosX,PosY,PosZ,Speed_Kmh,Accel_Long_G,Accel_Lat_G,Raw_Steer,Raw_Throttle,Raw_Brake,Clutch,Gear,RPM,Torque_Nm,Boost_Bar,Pitch,Roll,YawRate,Aero_DownN,Aero_DragN,FL_Load_N,FL_Travel_m,FL_DamperVel_ms,FL_Slip,FL_SlipDelta,FL_SlipAng_deg,FL_LatDelta,FL_WheelRPM,FL_LongForce_N,FL_LatForce_N,FL_ActBrakeTrq_Nm,FL_ABS_Active,FR_Load_N,FR_Travel_m,FR_DamperVel_ms,FR_Slip,FR_SlipDelta,FR_SlipAng_deg,FR_LatDelta,FR_WheelRPM,FR_LongForce_N,FR_LatForce_N,FR_ActBrakeTrq_Nm,FR_ABS_Active,RL_Load_N,RL_Travel_m,RL_DamperVel_ms,RL_Slip,RL_SlipDelta,RL_SlipAng_deg,RL_LatDelta,RL_WheelRPM,RL_LongForce_N,RL_LatForce_N,RL_ActBrakeTrq_Nm,RL_ABS_Active,RR_Load_N,RR_Travel_m,RR_DamperVel_ms,RR_Slip,RR_SlipDelta,RR_SlipAng_deg,RR_LatDelta,RR_WheelRPM,RR_LongForce_N,RR_LatForce_N,RR_ActBrakeTrq_Nm,RR_ABS_Active
2.020,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,909,0.0,0.36,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.03,0,-1,-1,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.03,0,1,0,0,0,2891,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,-1,1,0,0,2892,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,1,0,0,0
2.040,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,967,68.5,0.37,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,-1,0,0
2.060,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,1115,104.4,0.39,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,1,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,-1,0,0
2.080,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,1291,116.5,0.42,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,1,0,0,2891,0.0000,0.000,0.000,-0.100,0.01,-6.03,0,1,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.01,-6.03,0,-1,-1,0,0
2.100,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,1488,130.1,0.45,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,0,0,0,3240,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0
2.120,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,1702,137.1,0.47,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,-1,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,1,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0
2.140,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,1925,143.3,0.49,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,-1,0,0,3240,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,-1,1,0,0,2891,0.0000,0.000,0.000,-0.100,0.00,-6.03,0,1,0,0,0
2.160,0.0,612.94,-0.01,75.89,0.0,0.00,0.00,0.01,1.00,0.00,0.00,0,2159,149.8,0.52,0.00,0.00,0.00,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0,3240,0.0000,0.000,0.000,-0.100,0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,0,0,0,2891,0.0000,0.000,0.000,-0.100,-0.01,-6.02,0,0,0,0,0
2.180,0.0,612.94,-0.01,75.89,0.0,0.01,0.00,0.01,0.80,0.00,0.05,1,2388,156.3,0.57,0.00,0.00,-0.01,0,0,3240,0.0000,0.000,-0.004,-0.096,0.02,-6.01,0,-4,0,0,0,3240,0.0000,0.000,-0.004,-0.096,0.02,-6.01,0,-6,1,0,0,2891,0.0000,0.000,0.254,0.154,-0.01,-6.02,4,506,0,0,0,2891,0.0000,0.000,0.280,0.180,-0.01,-6.02,5,569,-1,0,0
2.200,0.0,612.94,-0.01,75.89,0.2,0.21,0.00,0.01,0.60,0.00,0.15,1,2499,143.6,0.62,-0.02,0.00,-0.09,0,0,3239,0.0000,-0.001,0.010,-0.090,0.30,-5.73,2,-65,10,0,0,3239,0.0000,-0.001,0.008,-0.092,0.31,-5.72,2,-65,10,0,0,2892,0.0000,0.001,0.286,0.186,-0.18,-5.85,6,1761,-5,0,0,2892,0.0000,0.001,0.342,0.242,-0.18,-5.85,7,2013,-5,0,0
