Time_s,Speed_Kmh,YawRate_deg,Pitch_deg,Roll_deg,EngineRPM,Gear,NetTorque,FL_Load_N,FL_Travel_m,FL_SlipLong,FL_SlipAngle_deg,FL_DynamicToe_deg,FL_ForceLong_N,FL_ForceLat_N,FR_Load_N,FR_Travel_m,FR_SlipLong,FR_SlipAngle_deg,FR_DynamicToe_deg,FR_ForceLong_N,FR_ForceLat_N,RL_Load_N,RL_Travel_m,RL_SlipLong,RL_SlipAngle_deg,RL_DynamicToe_deg,RL_ForceLong_N,RL_ForceLat_N,RR_Load_N,RR_Travel_m,RR_SlipLong,RR_SlipAngle_deg,RR_DynamicToe_deg,RR_ForceLong_N,RR_ForceLat_N
0.020,0.0,0.000,-0.468,0.000,1057,0,100.6,2556,-0.0093,0.0003,0.0001,0.0000,21,0,2556,-0.0093,0.0003,0.0001,0.0000,21,0,3575,0.0113,0.0003,0.0003,0.0000,29,0,3575,0.0113,0.0003,0.0003,0.0000,29,0
0.040,0.0,0.000,-0.468,0.000,1192,0,109.8,2556,-0.0093,0.0003,0.0002,0.0000,21,0,2556,-0.0093,0.0003,0.0002,0.0000,21,0,3575,0.0113,0.0003,0.0002,0.0000,29,0,3575,0.0113,0.0003,0.0002,0.0000,29,0
0.060,0.0,0.000,-0.468,0.000,1338,0,119.9,2556,-0.0093,0.0003,0.0001,0.0000,21,0,2556,-0.0093,0.0003,0.0001,0.0000,21,0,3575,0.0113,0.0003,0.0000,0.0000,29,0,3575,0.0113,0.0003,0.0000,0.0000,29,0
0.080,0.0,0.000,-0.468,0.000,1498,0,131.0,2556,-0.0093,0.0003,-0.0002,0.0000,21,0,2556,-0.0093,0.0003,-0.0002,0.0000,21,0,3575,0.0113,0.0003,-0.0003,0.0000,29,0,3575,0.0113,0.0003,-0.0003,0.0000,29,0
0.100,0.0,0.000,-0.468,0.000,1669,0,136.3,2556,-0.0093,0.0003,-0.0003,0.0000,21,0,2556,-0.0093,0.0003,-0.0003,0.0000,21,0,3575,0.0113,0.0003,-0.0003,0.0000,29,0,3575,0.0113,0.0003,-0.0003,0.0000,29,0
0.120,0.0,0.000,-0.468,0.000,1846,0,141.2,2556,-0.0093,0.0003,-0.0001,0.0000,21,0,2556,-0.0093,0.0003,-0.0001,0.0000,21,0,3575,0.0113,0.0003,-0.0001,0.0000,29,0,3575,0.0113,0.0003,-0.0001,0.0000,29,0
0.140,0.0,0.000,-0.468,0.000,2029,0,146.3,2556,-0.0093,0.0003,0.0001,0.0000,21,0,2556,-0.0093,0.0003,0.0001,0.0000,21,0,3575,0.0113,0.0003,0.0001,0.0000,29,0,3575,0.0113,0.0003,0.0001,0.0000,29,0
0.160,0.0,0.000,-0.468,0.000,2219,0,151.6,2556,-0.0093,0.0003,0.0002,0.0000,21,0,2556,-0.0093,0.0003,0.0002,0.0000,21,0,3575,0.0113,0.0003,0.0001,0.0000,29,0,3575,0.0113,0.0003,0.0001,0.0000,29,0
0.180,0.0,0.000,-0.468,0.000,2416,0,157.0,2556,-0.0093,0.0003,0.0000,0.0000,21,0,2556,-0.0093,0.0003,0.0001,0.0000,21,0,3575,0.0113,0.0003,0.0000,0.0000,29,0,3575,0.0113,0.0003,0.0000,0.0000,29,0
0.200,0.0,0.000,-0.468,0.000,2619,0,161.1,2556,-0.0093,0.0003,-0.0001,0.0000,21,0,2556,-0.0093,0.0003,-0.0001,0.0000,21,0,3575,0.0113,0.0003,-0.0001,0.0000,29,0,3575,0.0113,0.0003,-0.0001,0.0000,29,0
